rail,segment,waypoint,path_file,x_m,y_m,z_m,nearest_cloud_distance_m,path_step_m,path_continuous,normal_angle_from_previous_deg,normal_angle_continuous_deg,normal_x,normal_y,normal_z,k1_1_m,k2_1_m,radius1_m,radius2_m,surface_class,pad_curvature_ratio,normal_spread_p95_deg,normal_spread_max_deg,fit_rms_m,fit_condition,boundary_distance_m,angular_coverage,hole_risk,fit_confidence,neighbor_count,point_density_m2,boundary_risk,path_deviation_risk,curvature_jump_risk,geometry_risk,unsafe_geometry_pt_design,unsafe_reasons,review_reasons,source_row_index,risk_envelope,schedule_state,contact_group,requires_reapproach,entry_progress,force_target_unlimited_n,force_command_n,feed_target_unlimited_mm_s,feed_command_mm_s,contact_path_step_m,nominal_contact_dt_s
C,12,28,path_C12.npy,0.3384000062942505,-0.5321000218391418,0.676800012588501,2.5981456140674854e-08,0.05722918117175512,True,0.8570644288094247,0.8570644288094247,0.08342113016195316,0.035046503645839486,0.9958979152627566,0.4128088825115581,-0.03595774507968681,2.4224284950360806,27.810420196924927,saddle,0.022704488538135698,1.130212014773968,1.2322928787963134,0.0012458580415941353,10.15435858315252,0.05187305753052614,1.0,0.0,0.9445564546049943,154,13616.589575639935,0.056853499444979305,1.2990728070337427e-06,0.144071397601927,0.144071397601927,False,,,28,0.144071397601927,POLISH,2,False,1.0,7.8311334577645795,7.8311334577645795,12.342565818935025,12.342565818935025,0.05722918117175512,4.639507316438266
C,12,29,path_C12.npy,0.3634999990463257,-0.5699999928474426,0.6759999990463257,7.278603282662581e-09,0.04546490360983878,True,0.5582646843457061,0.5582646843457061,0.09300931308230717,0.03652560138868902,0.9949950492958003,0.12259616180940255,-0.23964437792665927,8.15686221526802,4.172849822940724,saddle,0.01318044078596626,0.6701047167299022,0.7360323456717758,0.0012820140172181327,10.354478948545474,0.052915154129287066,1.0,0.0,0.9415802836076046,157,13881.847814126428,0.037906288558416934,3.6393016413312903e-07,0.06349365168112958,0.06349365168112958,False,,,29,0.25353552503351606,POLISH,2,False,1.0,7.519261618457248,7.519261618457248,11.682437092401175,11.682437092401175,0.04546490360983878,3.78479900940084
C,12,30,path_C12.npy,0.3889000117778778,-0.5530999898910522,0.6736000180244446,2.3786337124170074e-08,0.030602788363062655,True,1.0014101651094014,1.0014101651094014,0.11017057420115532,0.03365677933069178,0.993342672890515,0.18543098727236026,-0.9311049007453395,5.392841912291629,1.073992843555555,saddle,0.05121076954099367,2.6588292730452148,2.8514794058285586,0.001287072833992318,10.110666482841397,0.05442685868739166,1.0,0.0,0.9411595280655959,156,13793.428401297597,0.010420751138333517,1.1893168562085037e-06,0.25353552503351606,0.25353552503351606,False,,,30,0.44593438692822673,POLISH,2,False,1.0,6.74234702673784,6.74234702673784,10.037967873261762,10.037967873261762,0.030602788363062655,2.81788377439938
C,12,31,path_C12.npy,0.41440001130104065,-0.5443000197410583,0.6697999835014343,2.8100277083555253e-08,0.027242057791183077,True,2.203871774730443,2.203871774730443,0.14733513228582432,0.024865711730296513,0.9887740162314465,-0.07227435008127148,-2.147289592367776,13.83616731074737,0.4657033702181357,convex,0.11810092758022768,5.897938580237727,6.561169579190553,0.0014002216402921298,10.586933955179836,0.04973834791053441,1.0,0.0,0.9314870425464229,152,13439.750749982273,0.09566640162664719,1.4050138541777625e-06,0.44593438692822673,0.44593438692822673,False,,,31,0.44593438692822673,POLISH,2,False,1.0,6.74234702673784,6.74234702673784,10.037967873261762,10.037967873261762,0.027242057791183077,2.7139016716469104
C,12,32,path_C12.npy,0.4408999979496002,-0.5644000172615051,0.664900004863739,1.805047519772087e-08,0.03361947327585119,True,4.269259420316272,4.269259420316272,0.21892357191619224,0.008935924673111656,0.9757010909646933,-0.003813940332423993,-2.360914299970836,262.196026376857,0.4235647181315954,convex,0.12985028649839597,6.572653483530711,7.235179934699855,0.0014352097771793836,10.09660903412539,0.05457791511204888,1.0,0.0,0.9284012660948536,171,15119.719593730058,0.007674270690020357,9.025237598860435e-07,0.07832905945445529,0.3286326741765356,False,,,32,0.44593438692822673,POLISH,2,False,1.0,6.74234702673784,6.74234702673784,10.037967873261762,10.037967873261762,0.03361947327585119,3.3492310097349214
C,12,33,path_C12.npy,0.44279998540878296,-0.5047000050544739,0.6650000214576721,2.643639560464265e-08,0.059730322393101096,True,1.964247521709868,1.964247521709868,0.1872808816987442,0.02047123504800561,0.9820930708877598,-0.11299572894157661,-2.8805648046985253,8.84989202129083,0.3471541408715706,convex,0.15843106425841888,7.8377203918311045,8.645397243609537,0.001411558165112053,10.184686074417227,0.055061302720655424,1.0,0.0,0.9304918472984609,164,14500.783703928242,0.0,1.3218197802321325e-06,0.19053851840015273,0.3918860195915552,False,,,33,0.3918860195915552,POLISH,2,False,1.0,6.978930684158862,6.978930684158862,10.538736614802923,10.538736614802923,0.059730322393101096,5.805625718904316
C,12,34,path_C12.npy,0.4169999957084656,-0.43720000982284546,0.6643999814987183,2.138230545376392e-08,0.07226512902333104,True,5.277073333158181,5.277073333158181,0.10622109467331999,0.06290866030668522,0.9923505325764782,0.7671737125788891,-0.8395426528539293,1.3034857472350752,1.1911247112944343,saddle,0.04617484590696611,2.4785634011364257,2.5376923353010112,0.0014664109313896336,9.912007558720358,0.05187931899888779,1.0,0.0,0.925614776181662,156,13793.428401297597,0.056739654565676534,1.069115272688196e-06,0.7483747890096852,0.7483747890096852,False,,,34,0.7483747890096852,POLISH,2,False,1.0,5.474246947234622,5.474246947234622,7.35382270497995,7.35382270497995,0.07226512902333104,8.077673823155221
C,12,35,path_C12.npy,0.390500009059906,-0.4259999990463257,0.6632999777793884,2.401555683187315e-08,0.028790615518785527,True,0.9841438207884652,0.9841438207884652,0.0968190846407142,0.07728315019986907,0.9922970218359616,0.7723407592225187,-0.39399854047634514,1.294765280815499,2.5380804679910685,saddle,0.04247874175723853,2.2328096031088664,2.304990608924461,0.0014682314475072708,10.156901577237674,0.05385027740245914,1.0,0.0,0.9254512147871671,152,13439.750749982273,0.020904047228015643,1.2007778415936574e-06,0.02464069433151722,0.11164048015544333,False,,,35,0.7483747890096852,POLISH,2,False,1.0,5.474246947234622,5.474246947234622,7.35382270497995,7.35382270497995,0.028790615518785527,3.9150543430002402
C,12,36,path_C12.npy,0.3635999858379364,-0.4733999967575073,0.6729000210762024,2.559851770070606e-08,0.055340146942913254,True,1.3362561122879038,1.3362561122879038,0.0973925303127852,0.05401581870310729,0.9937791436577376,-0.10589585298902379,-0.7996233948785244,9.44324042702268,1.2505887226472607,convex,0.04397928671831884,2.102950631013498,2.314519686724123,0.0013927191600961555,10.119152863607122,0.05258848644543856,1.0,0.0,0.9321431699119623,152,13439.750749982273,0.043845700992026226,1.279925885035303e-06,0.010003633073868748,0.10514753155067491,False,,,36,0.14238381738166295,POLISH,2,False,1.0,7.834861049095131,7.834861049095131,12.350455887251359,12.350455887251359,0.055340146942913254,5.617069072981123
C,12,37,path_C12.npy,0.3377000093460083,-0.42820000648498535,0.6722999811172485,2.2044527870921915e-08,0.052098060912771506,True,1.874691731349197,1.874691731349197,0.10775202553341158,0.08488183676850242,0.9905476135856633,0.1679307686504432,-0.897266355377085,5.954834888426867,1.1144962630185105,saddle,0.04934964954573968,2.4256040541433626,2.7287712916920195,0.0013841061443946462,10.363802945984718,0.04716889004400854,1.0,0.0,0.9328939418126804,134,11848.20131906332,0.14238381738166295,1.1022263935460956e-06,0.035802418849472245,0.14238381738166295,False,,,37,0.14238381738166295,POLISH,2,False,1.0,7.834861049095131,7.834861049095131,12.350455887251359,12.350455887251359,0.052098060912771506,4.218310756168057
C,12,38,path_C12.npy,0.3127000033855438,-0.4936000108718872,0.6776000261306763,2.850389591404034e-08,0.07021574858231165,True,3.3426421423580144,3.3426421423580144,0.08357811015659396,0.032074063966354795,0.9959849165139673,0.3947055835928762,-0.2415528949826768,2.5335339594067205,4.139880004633006,saddle,0.021708807097608192,1.134309244489133,1.222488602158953,0.0012780864328772843,10.231997934324685,0.053430081156652286,1.0,0.0,0.9419062259595122,145,12820.814860180459,0.028543978969958417,1.4251947957020169e-06,0.18427228298754325,0.18427228298754325,False,,,38,0.2690298546090824,POLISH,2,False,1.0,7.465435979845587,7.465435979845587,11.568506157339826,11.568506157339826,0.07021574858231165,5.871136753460387
C,12,39,path_C12.npy,0.28610000014305115,-0.45879998803138733,0.6796000003814697,1.197554473552123e-08,0.04384748178862466,True,1.1664622591968006,1.1664622591968006,0.10337828646586728,0.03636135614522159,0.9939772540992381,0.20682758329630102,-1.1284233688903735,4.834945049700653,0.886192210804126,saddle,0.062063285288970545,3.1007729627057197,3.523765935273887,0.0013404306230984072,10.458767160330948,0.050630511260606255,1.0,0.0,0.936659125196411,144,12732.395447351628,0.07944524980715906,5.987772367760614e-07,0.2690298546090824,0.2690298546090824,False,,,39,0.5416851066819791,POLISH,2,False,1.0,6.312851624214414,6.312851624214414,9.12886927125384,9.12886927125384,0.04384748178862466,4.2370088845225125
C,12,40,path_C12.npy,0.25940001010894775,-0.4244999885559082,0.6784999966621399,1.5630079050738306e-08,0.04348090891439171,True,2.3200662833213648,2.3200662833213648,0.09209432626203885,0.07523246640321193,0.9929041802053361,-1.1007162529363712,-1.6726631572509432,0.9084993497028037,0.597849002451588,convex,0.09199647364880187,4.540369119494825,5.0338252975273825,0.0014750802657970434,16.44408490534595,0.02520731913249115,1.0,0.0,0.9092099493526905,114,10079.813062486706,0.5416851066819791,7.815039525369153e-07,0.19955458906554216,0.5416851066819791,False,,,40,0.5416851066819791,POLISH,2,False,1.0,6.312851624214414,6.312851624214414,9.12886927125384,9.12886927125384,0.04348090891439171,4.763011455461411
C,12,41,path_C12.npy,0.23440000414848328,-0.49320000410079956,0.6848999857902527,1.536044881317571e-08,0.0733870035819118,True,5.74522972442314,5.74522972442314,0.017670244108602802,0.008451639026216987,0.9998081477318101,0.3186129273896323,-2.578421839323452,3.1386046014921996,0.38783413355759827,saddle,0.14181320116278986,7.012578488272656,7.780504169303376,0.0015056886308316498,10.24889106861588,0.0546280933534406,1.0,0.0,0.9220629160601428,158,13970.267226955259,0.006761939028352759,7.680224406587856e-07,0.33211151675992,0.3506289244136328,False,,,41,0.3506289244136328,POLISH,2,False,1.0,7.152173488044806,7.152173488044806,10.905433883028172,10.905433883028172,0.0733870035819118,7.326134881434745
C,12,42,path_C12.npy,0.2084999978542328,-0.4350999891757965,0.6841999888420105,1.569294198755819e-08,0.063615344501585,True,0.8854327504760631,0.8854327504760631,0.03311643524598481,0.00871998755452317,0.9994134597520927,0.546645900531955,-1.9905402087199904,1.8293377834295923,0.5023761869362319,saddle,0.10947971147959946,5.107034253247716,5.741837695291089,0.0013698046710182022,19.53566794530565,0.02237336167227329,1.0,0.0,0.9185096292873857,114,10079.813062486706,0.5932116059586674,7.846470993779095e-07,0.21555659788793602,0.5932116059586674,False,,,42,0.5932116059586674,POLISH,2,False,1.0,6.08540693343854,6.08540693343854,8.647444675778242,8.647444675778242,0.063615344501585,6.507005534786929
C,12,43,path_C12.npy,0.18330000340938568,-0.4408999979496002,0.6848000288009644,2.9074449263307415e-08,0.02586580502804555,True,1.1632964950740412,1.1632964950740412,0.014675270603534362,0.00024023531666742922,0.9998922835584368,0.000496257317727844,-1.767714536787901,2015.0836355997417,0.5657021986237051,convex,0.09722429952333456,4.551507464216283,5.466601525065268,0.0013285330343972153,17.060270066626334,0.024198775401978127,0.9375,0.0625,0.8934014826868044,109,9637.715998342552,0.5600222654185796,1.4537224631653707e-06,0.08170274637509939,0.5600222654185796,False,,,43,0.5932116059586674,POLISH,2,False,1.0,6.08540693343854,6.08540693343854,8.647444675778242,8.647444675778242,0.02586580502804555,2.9911501024685894
C,12,44,path_C12.npy,0.15710000693798065,-0.47600001096725464,0.6834999918937683,1.5301217029753778e-08,0.043819411507928965,True,1.4418904821549496,1.4418904821549496,0.027034005932413882,-0.02167550506521346,0.999399487193892,0.691985083669699,0.1388703491293753,1.4451178552821577,7.2009612294441165,concave,0.03805917960183345,1.959920985196717,2.1177921131415887,0.0011148780231688754,10.394412129586835,0.05198735023827745,1.0,0.0,0.9548522597131247,154,13616.589575639935,0.054775450213137344,7.650608514876889e-07,0.3944341328100074,0.3944341328100074,False,,,44,0.5600222654185796,POLISH,2,False,1.0,6.231197248950991,6.231197248950991,8.956034176946263,8.956034176946263,0.043819411507928965,4.978494520831261
C,12,45,path_C12.npy,0.12960000336170197,-0.506600022315979,0.682200014591217,2.6873919898545038e-08,0.04116188567381904,True,1.2178866428119928,1.2178866428119928,0.036666770912004994,-0.0027279394495562576,0.9993238245219845,0.27957266393272523,-0.4358255318963381,3.576887618170832,2.2944961385095075,saddle,0.023970404254298597,1.2039145226468932,1.3414746895715712,0.001011539713454584,9.919219551448453,0.05590337193395411,1.0,0.0,0.9623870195902978,138,12201.878970378644,0.0,1.3436959949272519e-06,0.09392516898356569,0.09392516898356569,False,,,45,0.3944341328100074,POLISH,2,False,1.0,6.9679877497352205,6.9679877497352205,10.515574070272883,10.515574070272883,0.04116188567381904,4.227887614747755
C,12,46,path_C12.npy,0.10459999740123749,-0.47620001435279846,0.6858999729156494,3.076228915581037e-08,0.03953290368524979,True,0.5341561107357203,0.5341561107357203,0.03001585787718545,-0.009258300839060696,0.9995065443214817,0.2394174394331715,0.05453447779354148,4.176805174959402,18.337023484222858,concave,0.013167959168824434,0.6852812648225552,0.7418779684103096,0.001149939181105137,10.669818653195772,0.04870242264168143,1.0,0.0,0.9521743752504992,146,12909.23427300929,0.11450140651488305,1.5381144577905185e-06,0.07201630056982776,0.11450140651488305,False,,,46,0.6301090128014154,POLISH,2,False,1.0,5.927724631903665,5.927724631903665,8.313683804196089,8.313683804196089,0.03953290368524979,4.199093129299947
C,12,47,path_C12.npy,0.07919999957084656,-0.4456000030040741,0.6866000294685364,2.962436954241844e-08,0.03977449765243005,True,0.5104300744868762,0.5104300744868762,0.021342488516719257,-0.011282159293489606,0.9997085630650515,0.2229956485960743,-0.39485058331021045,4.4843924367840975,2.532603577830756,saddle,0.021716782082061573,1.1243209485167631,1.1794605579609874,0.0011149944528641453,22.61233563907255,0.020344004295922154,0.875,0.125,0.8773886418539787,103,9107.199521369566,0.6301090128014154,1.481218477120922e-06,0.05699215275491427,0.6301090128014154,False,,,47,0.6301090128014154,POLISH,2,False,1.0,5.927724631903665,5.927724631903665,8.313683804196089,8.313683804196089,0.03977449765243005,4.784220640235925
C,12,48,path_C12.npy,0.05400000140070915,-0.46129998564720154,0.6870999932289124,1.593149201998405e-08,0.029694769346319577,True,0.4607589248952633,0.4607589248952633,0.020760710839707038,-0.0032618031886515555,0.9997791523758577,0.24175059703276233,-0.20153536176354928,4.136494437961941,4.961908378010837,saddle,0.013296282836801928,0.7051888008109495,0.7490231642869503,0.0009265585948987914,13.538679889305987,0.033269353832334814,1.0,0.0,0.968156392527071,120,10610.32953945969,0.3951026575939125,7.965746009992024e-07,0.056136661635064304,0.3951026575939125,False,,,48,0.6301090128014154,POLISH,2,False,1.0,5.927724631903665,5.927724631903665,8.313683804196089,8.313683804196089,0.029694769346319577,3.5717944109603987
C,12,49,path_C12.npy,0.023499999195337296,-0.4708999991416931,0.6851999759674072,2.4061373395294e-08,0.03203155411802752,True,0.5251824750713614,0.5251824750713614,0.012653598347069101,0.0010128912581883847,0.9999194270040813,0.005530669141249042,-0.7553762987860129,180.8099480299342,1.3238434957611578,saddle,0.04154569643323071,1.975643638456455,2.256447249997259,0.001134247421366654,11.62629045854437,0.04087445647973171,1.0,0.0,0.9533801979050353,134,11848.20131906332,0.256828064004878,1.2030686697647e-06,0.1883294239761919,0.256828064004878,False,,,49,0.9196246817090578,POLISH,2,False,1.0,5.055026286285103,5.055026286285103,6.466472305970135,6.466472305970135,0.03203155411802752,4.334399972405607
C,12,50,path_C12.npy,-0.006099999882280827,-0.4323999881744385,0.6879000067710876,1.3627376556655833e-08,0.0486384719765593,True,1.8972610325126447,1.8972610325126447,0.0015707857040025857,-0.030186949988007566,0.9995430359332677,0.8072018067714205,-0.41205467749945157,1.2388475739415374,2.426862391342059,saddle,0.04439609937242813,2.310722462172924,2.3772594194230554,0.0011468712626316521,33.42560367016698,0.005212402962326729,0.625,0.9196246817090578,0.7372460880903272,77,6808.2947878199675,0.9052290370486049,6.813688278327916e-07,0.019002686261316154,0.9196246817090578,True,point_cloud_boundary,point_cloud_boundary,50,0.9196246817090578,HOLD_REVIEW,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,12,51,path_C12.npy,-0.03530000150203705,-0.43560001254081726,0.6851999759674072,2.7149470162512517e-08,0.029498651102720055,True,1.2205564939627966,1.2205564939627966,-0.010621097971041509,-0.012721414477284627,0.9998626695159624,0.45795764581539466,-0.5051579814731066,2.1836080457167553,1.979578739078554,saddle,0.027783688981020866,1.4475840195028218,1.578380206505515,0.0010301988553220248,28.07211364460581,0.006741162551995518,0.75,0.25,0.8016024254042635,85,7515.650090450614,0.877433408145536,1.3574735081256257e-06,0.11074940260938178,0.877433408145536,True,point_cloud_boundary,point_cloud_boundary,51,0.9196246817090578,HOLD_REVIEW,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,12,52,path_C12.npy,-0.06849999725818634,-0.48840001225471497,0.6863999962806702,1.3096907861657932e-08,0.0623820465899298,True,1.0075164366930367,1.0075164366930367,-0.02277540889088674,-1.4575223088576868e-05,0.9997406066262468,0.4209815671262309,-0.07077354674532466,2.375400915594366,14.129573067723367,saddle,0.0231539861919427,1.1655992140735292,1.3081694029253734,0.0009476567397192479,10.042471295388653,0.05279936853004707,1.0,0.0,0.9667616045671862,149,13174.492511495782,0.040011481271871485,6.548453930828966e-07,0.030864685260521114,0.058279960703676456,False,,,52,0.10507536760099877,POLISH_ENTRY,3,True,0.0,2.7676576275426195,2.7676576275426195,6.35,6.35,0.0,0.016666666666666666
