surface_kind,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
sphere,cross_xy,factory_prepolish_deep_stress,7,31097,2,2,400,77.32780684466525,0.014662056562854037,0.04952991755998423,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish_deep_stress,7,31097,2,3,400,77.54926421115911,0.019397925748873737,0.06509475459870233,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish_deep_stress,7,31097,2,4,400,77.68710553980814,0.020291789277714953,0.06781770801785897,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish_deep_stress,7,31097,3,0,400,77.37948258141827,0.019978820269875006,0.06813987982851794,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish_deep_stress,7,31097,3,1,400,76.85514261284625,0.016106715440360072,0.055176402219784176,96.75,100.0,100.0,100.0,96.75,100.0,100.0
sphere,cross_xy,factory_prepolish_deep_stress,7,31097,3,2,400,77.38275510872155,0.018107231876042695,0.06106847094343494,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish_deep_stress,7,31097,3,3,400,77.54852318951785,0.021209565907646617,0.0715896554170102,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish_deep_stress,7,31097,3,4,400,77.62382513365877,0.02469358464520604,0.0829659207093126,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish_deep_stress,7,31097,4,0,400,77.60569817248233,0.019687807576025982,0.06701175044284197,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish_deep_stress,7,31097,4,1,400,77.46043576151396,0.023093663218104164,0.0767147290687069,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish_deep_stress,7,31097,4,2,400,77.50447287926468,0.02344258413241316,0.0783196719526292,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish_deep_stress,7,31097,4,3,400,77.67255332880977,0.019696822491591593,0.06640345927650892,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish_deep_stress,7,31097,4,4,400,77.68826839215897,0.02624898623231755,0.08870225735122551,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish_deep_defect,4,31000,0,0,400,77.64805172119237,0.026107968684824297,0.08791526500235296,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish_deep_defect,4,31000,0,1,400,77.61206820510182,0.018236743894708907,0.061326954908169425,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish_deep_defect,4,31000,0,2,400,77.5395607892197,0.022887953349394956,0.07693692586311268,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish_deep_defect,4,31000,0,3,400,77.52487100856149,0.01885631595241379,0.06438057997398954,100.0,100.0,100.0,100.0,100.0,100.0,100.0
