step,env,surface_profile,profile_seed,observation_mode,observation_dim,feature_index,feature_name,value
0,0,factory_prepolish,1000,spatial120,120,71,tile_under_fraction_x0_y1_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,72,tile_under_fraction_x0_y2_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,73,tile_under_fraction_x0_y3_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,74,tile_under_fraction_x0_y4_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,75,tile_under_fraction_x1_y0_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,76,tile_under_fraction_x1_y1_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,77,tile_under_fraction_x1_y2_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,78,tile_under_fraction_x1_y3_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,79,tile_under_fraction_x1_y4_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,80,tile_under_fraction_x2_y0_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,81,tile_under_fraction_x2_y1_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,82,tile_under_fraction_x2_y2_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,83,tile_under_fraction_x2_y3_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,84,tile_under_fraction_x2_y4_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,85,tile_under_fraction_x3_y0_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,86,tile_under_fraction_x3_y1_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,87,tile_under_fraction_x3_y2_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,88,tile_under_fraction_x3_y3_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,89,tile_under_fraction_x3_y4_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,90,tile_under_fraction_x4_y0_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,91,tile_under_fraction_x4_y1_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,92,tile_under_fraction_x4_y2_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,93,tile_under_fraction_x4_y3_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,94,tile_under_fraction_x4_y4_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,95,tile_over_fraction_x0_y0_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,96,tile_over_fraction_x0_y1_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,97,tile_over_fraction_x0_y2_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,98,tile_over_fraction_x0_y3_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,99,tile_over_fraction_x0_y4_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,100,tile_over_fraction_x1_y0_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,101,tile_over_fraction_x1_y1_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,102,tile_over_fraction_x1_y2_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,103,tile_over_fraction_x1_y3_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,104,tile_over_fraction_x1_y4_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,105,tile_over_fraction_x2_y0_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,106,tile_over_fraction_x2_y1_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,107,tile_over_fraction_x2_y2_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,108,tile_over_fraction_x2_y3_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,109,tile_over_fraction_x2_y4_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,110,tile_over_fraction_x3_y0_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,111,tile_over_fraction_x3_y1_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,112,tile_over_fraction_x3_y2_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,113,tile_over_fraction_x3_y3_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,114,tile_over_fraction_x3_y4_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,115,tile_over_fraction_x4_y0_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,116,tile_over_fraction_x4_y1_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,117,tile_over_fraction_x4_y2_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,118,tile_over_fraction_x4_y3_norm,0.0
0,0,factory_prepolish,1000,spatial120,120,119,tile_over_fraction_x4_y4_norm,0.0
0,1,factory_prepolish_deep_defect,1000,base14,14,0,force_mean_norm,0.0
0,1,factory_prepolish_deep_defect,1000,base14,14,1,force_error_norm,-1.1555999517440796
0,1,factory_prepolish_deep_defect,1000,base14,14,2,force_delta_norm,0.0
0,1,factory_prepolish_deep_defect,1000,base14,14,3,feed_cmd_norm,1.2699999809265137
0,1,factory_prepolish_deep_defect,1000,base14,14,4,path_progress,0.0
0,1,factory_prepolish_deep_defect,1000,base14,14,5,local_scratch_mean_norm,0.0
0,1,factory_prepolish_deep_defect,1000,base14,14,6,local_scratch_max_norm,0.0
0,1,factory_prepolish_deep_defect,1000,base14,14,7,local_removal_norm,0.0
0,1,factory_prepolish_deep_defect,1000,base14,14,8,local_clearcoat_margin_norm,1.0
0,1,factory_prepolish_deep_defect,1000,base14,14,9,previous_force_action,0.0
0,1,factory_prepolish_deep_defect,1000,base14,14,10,previous_feed_action,0.0
0,1,factory_prepolish_deep_defect,1000,base14,14,11,local_temperature_mean_norm,0.0
0,1,factory_prepolish_deep_defect,1000,base14,14,12,local_temperature_peak_norm,0.0
0,1,factory_prepolish_deep_defect,1000,base14,14,13,local_thermal_damage_norm,0.0
0,1,factory_prepolish_deep_defect,1000,global20,20,0,force_mean_norm,0.0
0,1,factory_prepolish_deep_defect,1000,global20,20,1,force_error_norm,-1.1555999517440796
0,1,factory_prepolish_deep_defect,1000,global20,20,2,force_delta_norm,0.0
0,1,factory_prepolish_deep_defect,1000,global20,20,3,feed_cmd_norm,1.2699999809265137
