env,stage,pass,tile_x,tile_y,removal_mean_um,removal_std_um,total_ra_um,total_rz_um,fine_ra_um,fine_rz_um,waviness_std_um,scratch_mean_um,scratch_max_um,clearcoat_min_um,under_fraction,over_fraction,coverage_fraction,base_micro_ra_um,base_micro_rz_um,individual_scratch_initial_max_um,mar_density_mean,mar_severity_initial_mean,mar_severity_remaining_mean,q_mar_mean,profile_gu
2,initial,0,4,3,0.0,0.0,0.10926806057363274,0.5082562165617148,0.1024292783621654,0.4990322003669107,0.0,0.023481294000802233,0.42090665371215263,43.73490233285433,0.0,0.0,0.0,0.07908788837975708,0.2977638952701437,0.5002552500809071,0.0,0.0,0.0,1.0,51.022871075478946
2,initial,0,4,4,0.0,0.0,0.09066297583685543,0.2998458283356444,0.06919158916127223,0.2618883103354944,0.0,0.0,0.0,44.02903268253009,0.0,0.0,0.0,0.09066297583685543,0.2998458283356444,5.407989921148658e-87,0.0,0.0,0.0,1.0,76.14929251676097
3,initial,0,0,0,0.0,0.0,0.07482487457357165,0.31876188233924985,0.06938023683706758,0.34317764806102224,0.0,0.004869946470711694,0.28038664497072086,42.655658246487704,0.0,0.0,0.0,0.07043688298764511,0.2802703177362974,0.2962043338706586,0.0,0.0,0.0,1.0,44.95843159912466
3,initial,0,0,1,0.0,0.0,0.08291060017951751,0.3294053880378124,0.07000545164167318,0.29255938354052613,0.0,0.0001710967572180024,0.06843870288720096,43.51662838504888,0.0,0.0,0.0,0.0832666692343215,0.3300945198376102,0.12454345676078683,0.0,0.0,0.0,1.0,65.2366602778379
3,initial,0,0,2,0.0,0.0,0.09258134648508808,0.4635512434156358,0.08318499851971353,0.4356631576157977,0.0,0.018526004144837273,0.8355710189464693,44.02964820646478,0.0,0.0,0.0,0.061610441091774056,0.2681765367951765,0.9990776039695639,0.0,0.0,0.0,1.0,52.79976853195395
3,initial,0,0,3,0.0,0.0,0.18194324750148538,1.0665133578010249,0.16989128335662115,1.0190816864478376,0.0,0.08893053751940677,0.914022149794774,44.67091195588449,0.0,0.0,0.0,0.06770729961530723,0.3086987942342761,1.0044153015156447,0.0,0.0,0.0,1.0,41.90850874178551
3,initial,0,0,4,0.0,0.0,0.10368337751496515,0.5528531049477045,0.09716666143530686,0.5413544952646421,0.0,0.026421411529081177,0.4585218664203379,43.76718761447741,0.0,0.0,0.0,0.07443631295802584,0.3348146873612582,0.4962692356425157,0.0,0.0,0.0,1.0,45.75138625706949
3,initial,0,1,0,0.0,0.0,0.08476902794269416,0.3397140292255116,0.07613396389195845,0.3258466324258309,0.0,0.009860186839344356,0.2797488956745027,43.073657378122746,0.0,0.0,0.0,0.07205912066493646,0.2662617701989231,0.2956846804373829,0.0,0.0,0.0,1.0,44.70396095624097
3,initial,0,1,1,0.0,0.0,0.06907191825104148,0.3113852609412491,0.0607045886359391,0.2836673620068535,0.0,0.00764932136232255,0.147971267529544,43.51839871975192,0.0,0.0,0.0,0.05998581271175768,0.2724671937776386,0.12368047104565795,0.0,0.0,0.0,1.0,25.53
3,initial,0,1,2,0.0,0.0,0.24973215141449073,1.8241133212159262,0.231272143014764,1.7280593989553155,0.0,0.11331950142899369,1.9169658807309362,43.6906482991602,0.0,0.0,0.0,0.09476017560659472,0.3501874603415587,1.9718678217420962,0.0,0.0,0.0,1.0,34.12290978098406
3,initial,0,1,3,0.0,0.0,0.26646322154398805,1.6423144781947487,0.249902598002232,1.540359270050557,0.0,0.12760684037705072,1.5724857242876304,44.17144398676188,0.0,0.0,0.0,0.07243541045259494,0.3222434226463562,1.710311133802478,0.0,0.0,0.0,1.0,37.295912533566636
3,initial,0,1,4,0.0,0.0,0.0824152906671793,0.4472053567666481,0.08009596569941131,0.4219213915626406,0.0,0.016887757248292917,0.4645670662536041,43.05335428486237,0.0,0.0,0.0,0.06723186102376844,0.3299723170881871,0.4962088031617608,0.0,0.0,0.0,1.0,46.00445069293714
3,initial,0,2,0,0.0,0.0,0.2725031042077793,1.7900546049378914,0.24957302420552588,1.3929022505512796,0.0,0.14409769087066726,1.4285394287326263,44.08486510899939,0.0,0.0,0.0,0.06884492389319098,0.2782714579005335,1.5541583717930885,0.0,0.0,0.0,1.0,37.062917867132924
3,initial,0,2,1,0.0,0.0,0.05814694145122848,0.479025594764657,0.0548918981453813,0.462939421297525,0.0,0.016372540900508874,1.2141026145031926,43.67489078032777,0.0,0.0,0.0,0.04176736826555823,0.217449828453973,1.3322059431995132,0.0,0.0,0.0,1.0,48.63230737822041
3,initial,0,2,2,0.0,0.0,0.29899590149515065,2.1774203169731994,0.27081539964434287,2.042244362876336,0.0,0.15495916550013666,1.856228222455732,43.70120316979901,0.0,0.0,0.0,0.06355764540429285,0.29631335698164124,1.9884407848807768,0.0,0.0,0.0,1.0,35.34745431649838
