surface_profile,seed,design_status,legacy_exact_match,base_micro_ra_um,base_micro_rz_um,initial_total_ra_um,initial_total_rz_um,individual_scratch_count,individual_scratch_count_design_min,individual_scratch_count_design_max,individual_scratch_max_um,individual_scratch_affected_fraction,mar_density_mean,mar_density_max,mar_severity_mean,mar_severity_max,q_mar_mean,initial_gu_mean,initial_gu_p10,initial_gu_min,clearcoat_min_um,clearcoat_mean_um,clearcoat_max_um,all_finite,state_fingerprint_sha256
new_car_mild,19,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.059284316970216834,0.5017269878400695,0.05945499899634249,0.5130549046763758,2,0,3,0.1795903404365368,0.0024,0.08814946358120558,0.12765554414031705,0.10150409212202567,0.14709429899510634,0.9310962211145879,80.5644176572903,51.126577937370044,26.983483730138577,44.62598186814854,46.67156852603747,50.0,True,8d66202756146f608d2b725671ed369be801b492e27831010cf0245d695c533f
legacy_stress,20,ESTABLISHED_GENERATOR_UNCHANGED,True,0.07608908751606973,0.6279939020885936,0.09372116487817671,1.7458267307263493,,4,12,1.426285056675561,0.0556,0.0,0.0,0.0,0.0,1.0,62.94362943233727,40.76911952416155,25.518260333461807,40.0,42.34201450340169,46.353539563932806,True,218637d85304dd2416f34b489778436a963e3723909babb0f863dd2e5a3837d8
new_car_mild,20,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.0426216647335459,0.3439176537290622,0.0426216647335459,0.3439176537290622,0,0,3,0.0,0.0,0.08495534107379327,0.12321702916462464,0.11480031617832105,0.1671277285489676,0.923800949052487,87.74170878010143,87.36272412626005,87.03455372548012,42.725169889048324,44.77532418677175,48.59854113641567,True,5ffb4493193aba76ad149c561fbbf193751215d332803c45ddf5b8f7b2558a12
legacy_stress,21,ESTABLISHED_GENERATOR_UNCHANGED,True,0.07866143343540016,0.6393601384507288,0.1539504142454399,2.320177258017711,,4,12,1.9614453668145817,0.1603,0.0,0.0,0.0,0.0,1.0,45.51169224440287,28.7739104871705,25.325923191630825,43.03466954335079,46.04227177881099,49.79207964047835,True,4f77120d929387da4914b65cdc3099dada38535ec331b7b050209222130edaa6
new_car_mild,21,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.04876303676081113,0.42238402591218954,0.048862301588404544,0.4224031562880877,1,0,3,0.09867772734105835,0.0028,0.040919694191017326,0.059398675617172166,0.11913527441262127,0.17262502601449914,0.961684251855709,87.03098440972879,88.13318745229313,54.82697651038289,42.08106330401863,45.90128866725364,49.07103042189368,True,98449052949bb6c839a62b69aeaa91bb9d86c31cfbb8feb020f82e66e96b2b7c
legacy_stress,22,ESTABLISHED_GENERATOR_UNCHANGED,True,0.07968723777894782,0.6940496513384055,0.12095451832194137,2.202840272529523,,4,12,1.9143168168108016,0.074,0.0,0.0,0.0,0.0,1.0,57.82050838055163,36.640979240312554,25.53,47.08022148793228,49.85144498676745,50.0,True,1d64a7af96d7058e2fec7eece1f43e06dbc4ecd291999d1eed400b4f2523055b
new_car_mild,22,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.03621917113852501,0.3221738153605531,0.03642206749235065,0.39883183973410974,1,0,3,0.46154843737323253,0.0015,0.053737729948848754,0.07812202176172191,0.14149388659991827,0.20476837014097082,0.9407481803842753,86.72694328042877,87.65467266679563,55.38707929561685,43.26096488829723,45.72550879490587,50.0,True,dd7a6151d9f4a821c944b9bf19f66c3805d1f8dcd87460fdba6ddf6b5c441e70
legacy_stress,23,ESTABLISHED_GENERATOR_UNCHANGED,True,0.0789537060352408,0.584458586614971,0.1355144392129665,2.1082589975975843,,4,12,1.8299668353984122,0.136,0.0,0.0,0.0,0.0,1.0,49.00008448913079,28.36550313335973,25.529477852831352,40.0,42.49672483237819,44.3294193129425,True,3f042ebbed2b63f284a899fb35a9a2edf140dc7eb9555bb1c4394d462d4d2d0b
new_car_mild,23,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.053880773463291516,0.45836985428455773,0.053880773463291516,0.45836985428455773,0,0,3,0.0,0.0,0.05806191512463197,0.08370031459711406,0.042368376840540546,0.061695324157295575,0.980897549215962,88.6920884867955,88.62766092051403,88.55494886322691,41.837580783990646,45.81537064050563,48.40950832700175,True,28cc98d57ddd03ab3804aac288d9e5e6ff5021abba413140a4fa0c94e076a012
legacy_stress,24,ESTABLISHED_GENERATOR_UNCHANGED,True,0.07914916474896251,0.6597824078744645,0.10996884835351134,1.9714622267981916,,4,12,1.6077840342444836,0.1044,0.0,0.0,0.0,0.0,1.0,57.58325411501696,37.42182547882659,25.53,40.778308061147214,44.74773093699498,48.41483787027817,True,acd9142febae9c51a5d32a559cdf82229a553ced34dac86aab91272fbdd6bac5
new_car_mild,24,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.05384856039961895,0.4323299996095258,0.05424920330464526,0.44280208485466954,1,0,3,0.1980941577096202,0.0041,0.045886939471059644,0.06643818981939437,0.11031553529106232,0.16009971349002047,0.9606331867789518,83.45503599914578,88.1239576073164,27.00132420330167,42.46048625962311,46.348277290689296,48.86407448537334,True,89ae38ce2d18e52face586b53d86722a69bbe79f424586826de76660d38c9d86
legacy_stress,25,ESTABLISHED_GENERATOR_UNCHANGED,True,0.07810892242612442,0.6186786118160741,0.14039912093647092,2.0629472547264207,,4,12,1.7911659688382524,0.1158,0.0,0.0,0.0,0.0,1.0,51.727760066209704,39.22427492213351,25.53,43.10765912792127,45.129847001055126,50.0,True,19426fef18551b324e1b8a49a52e87af3973cd6ee596aeefe615e64d1f686591
new_car_mild,25,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.06217553935913304,0.4898604260579004,0.06217553935913304,0.4898604260579004,0,0,3,0.0,0.0,0.05565465050602657,0.08057299084459725,0.14665715783757277,0.21186635030704715,0.9376557749306142,87.9775894149138,87.72074006377413,87.63919443191753,40.71503294967028,44.7613627115278,47.30970508332048,True,19ac532142a076249cb7d4b29d527867dbe99efdb8fa010b96113a7fd3473272
legacy_stress,26,ESTABLISHED_GENERATOR_UNCHANGED,True,0.0799714571235376,0.6421471936241532,0.13767590671282495,2.3512754825306814,,4,12,1.8758986078745519,0.1147,0.0,0.0,0.0,0.0,1.0,48.28632077110737,31.999405889488536,25.53,40.08155352945777,43.69089653338006,46.42943665281049,True,853797fb2f5144e5ccc65273ee08065af570c5286f8a36c6ba043e89da0201ca
new_car_mild,26,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.0555414475133842,0.4280942518378916,0.0555414475133842,0.4280942518378916,0,0,3,0.0,0.0,0.05330934120416348,0.07725509010041424,0.056060698396013416,0.08051921348532934,0.9764575682010301,88.6197911237343,88.49075432506794,88.45542469020937,42.03861105756543,45.45453910911014,47.90583890177109,True,c9c675cc84fdb258de0cbdbdcdc8539c22ca38f1f1b473c5fa0bbd64616ca145
legacy_stress,27,ESTABLISHED_GENERATOR_UNCHANGED,True,0.07929267828297179,0.6427995030836686,0.12279812506173172,2.046313391541569,,4,12,1.6044650434438676,0.1202,0.0,0.0,0.0,0.0,1.0,46.25752085930286,33.01553095890089,25.483769389836215,41.102617766996936,44.71029335096965,48.31781485608656,True,b9377a0033584bd92aee3e20fc94e5e49f737191198b0b13ba238a15fed8c5af
new_car_mild,27,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.06219270571391213,0.5094408047880428,0.062478607822694696,0.5172127562304488,1,0,3,0.1708306816587682,0.0036,0.08541679917250308,0.1236320674105059,0.10835819085055758,0.15742679730697917,0.9298195069441526,82.97934343486303,87.49374119047005,26.985676447319328,40.0,43.43457167747146,47.005508937770365,True,dcbc42158fa789943b69aa708a94893b70d3adbf247619be9770c7d737a75b86
legacy_stress,28,ESTABLISHED_GENERATOR_UNCHANGED,True,0.08003230490130309,0.6937055921387818,0.14248809314787492,2.1964931074849203,,4,12,1.7956011299437369,0.1092,0.0,0.0,0.0,0.0,1.0,51.880735243268965,33.559442508573014,25.485925569326582,41.67394114314207,45.384202375371686,47.6816328313637,True,0c0435fb7be93f77b8a82bbc5832527bf0bff155302d6910a36bf1cc9d1ba101
new_car_mild,28,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.05885015474865579,0.4723691775668466,0.05885015474865579,0.4723691775668466,0,0,3,0.0,0.0,0.03462371839217284,0.050234611848232295,0.14219934268101497,0.20742349020016995,0.961265084535755,88.37054578303014,88.18467943576525,88.06600618206747,41.506684992134815,44.89376639369811,49.11179454487614,True,88080f4aec39b55f2c4fc1c193f21885cf92650926ce5f0cb230ed8168d6af56
legacy_stress,29,ESTABLISHED_GENERATOR_UNCHANGED,True,0.07991481338205421,0.6187829002303775,0.15156559593149418,2.127454074328168,,4,12,1.829808769031507,0.1367,0.0,0.0,0.0,0.0,1.0,57.08424311707814,38.4924644693496,35.69651955305413,41.660225579995654,46.43024828556302,48.60595866084331,True,b79ef8e973e568a592a0c153ae547bb90b5fe5754b5673f4fc8023264e6912ca
new_car_mild,29,PT-DESIGN_NO_MEASURED_DISTRIBUTION,,0.05281952154195801,0.4286663008098546,0.05281952154195801,0.4286663008098546,0,0,3,0.0,0.0,0.046950231822202704,0.06801179829450195,0.1484395663226055,0.21411922811150158,0.9453399385402869,88.10566300586002,87.77530251481203,87.61382032148228,40.0,45.13601546484785,49.03274637566388,True,6029befa4007bbc2d67f1069b17d9139e0d5eb73dac505efc1e5a79c05e536da
legacy_stress,30,ESTABLISHED_GENERATOR_UNCHANGED,True,0.07986864086637357,0.6002911764920489,0.16024575909998998,2.3108820636904532,,4,12,1.9966749926091822,0.1254,0.0,0.0,0.0,0.0,1.0,51.66789610745354,34.98814811944861,25.29475835081625,41.28414554664276,45.16906214293954,48.10831842094272,True,6aae2f81504fbe0bc6052ee296e01df9b663dfeda7bc6ef2773e51dedacb0ac8
