direction_mode,surface_profile,profile_seed,champion_safety_ok,trained_safety_ok,champion_quality_ok,trained_quality_ok,champion_gu_final,trained_gu_final,delta_gu_final,champion_ra_final_um,trained_ra_final_um,delta_ra_final_um,champion_rz_final_um,trained_rz_final_um,delta_rz_final_um,champion_scratch_final_um,trained_scratch_final_um,delta_scratch_final_um,champion_clearcoat_min_um,trained_clearcoat_min_um,delta_clearcoat_min_um,champion_temperature_peak_c,trained_temperature_peak_c,delta_temperature_peak_c,champion_control_steps,trained_control_steps,delta_control_steps,champion_final_gu_pass_area_pct,trained_final_gu_pass_area_pct,delta_final_gu_pass_area_pct,champion_final_ra_pass_area_pct,trained_final_ra_pass_area_pct,delta_final_ra_pass_area_pct,champion_final_rz_pass_area_pct,trained_final_rz_pass_area_pct,delta_final_rz_pass_area_pct,champion_final_scratch_pass_area_pct,trained_final_scratch_pass_area_pct,delta_final_scratch_pass_area_pct,champion_final_all4_pass_area_pct,trained_final_all4_pass_area_pct,delta_final_all4_pass_area_pct
cross_xy,factory_prepolish_deep_stress,19194,1,1,1,1,71.47263845949198,72.09630822438946,0.6236697648974854,0.11628076593304118,0.09820818003602436,-0.018072585897016824,1.4605475393791463,1.3302588014828238,-0.13028873789632245,1.2780162191310207,1.2612661284996896,-0.01675009063133115,41.38150337297406,41.26730411484425,-0.11419925812980836,29.284276006260818,29.42965894512292,0.1453829388621024,3182.0,3881.0,699.0,96.35000000000001,96.83,0.47999999999998977,99.42999999999999,99.42999999999999,0.0,100.0,100.0,0.0,99.87,99.96000000000001,0.09000000000000341,96.35000000000001,96.83,0.47999999999998977
cross_xy,factory_prepolish_deep_stress,19291,1,1,1,1,75.26325191568645,75.45435878089022,0.1911068652037642,0.10554501068670011,0.09174616719655256,-0.013798843490147553,0.9483578733187178,0.8871959207377031,-0.061161952581014645,0.9471820420100641,0.9318729197955419,-0.015309122214522186,42.18231575623433,42.12019829782701,-0.062117458407321635,29.130681904082024,29.019603642324377,-0.11107826175764757,3067.0,3610.0,543.0,98.46000000000001,98.48,0.01999999999999602,99.72999999999999,99.72999999999999,0.0,100.0,100.0,0.0,99.99,100.0,0.010000000000005116,98.46000000000001,98.48,0.01999999999999602
cross_xy,legacy_stress,19000,1,1,0,0,62.509046609349426,62.78327791702544,0.2742313076760112,0.11476941244957312,0.11122806100088378,-0.003541351448689334,1.5803787767780078,1.5388118416929437,-0.04156693508506404,0.9931537826306513,0.9910549518222198,-0.00209883080843154,42.36892331243256,42.358322374128356,-0.010600938304200724,29.58613472771181,29.472843412150496,-0.11329131556131244,5725.0,5942.0,217.0,75.24,75.79,0.5500000000000114,97.38,97.35000000000001,-0.029999999999986926,100.0,100.0,0.0,100.0,99.99,-0.010000000000005116,75.24,75.79,0.5500000000000114
cross_xy,legacy_stress,19097,1,1,0,0,62.77276508748897,62.89565267156533,0.12288758407635925,0.15055104435156502,0.13731235421585672,-0.013238690135708303,2.200788840951617,2.188183855318315,-0.012604985633302146,1.7913416284986923,1.792921568527344,0.001579940028651805,43.982859671607116,43.98218229580173,-0.0006773758053881807,29.776799324397338,29.697608370493096,-0.07919095390424147,5202.0,5347.0,145.0,81.57,81.55,-0.01999999999999602,93.47,93.45,-0.01999999999999602,100.0,100.0,0.0,99.99,99.99,0.0,81.57,81.55,-0.01999999999999602
cross_xy,legacy_stress,19194,1,1,0,0,63.114367871945596,63.19501567075326,0.08064779880766082,0.15597670641477485,0.13562246107197248,-0.020354245342802363,2.3320290371716865,2.267231744653892,-0.06479729251779442,1.6295230080366667,1.6317235907075407,0.002200582670873974,41.77171056998472,41.68560952496477,-0.08610104501995153,30.11619257282921,29.9228280470213,-0.1933645258079082,4922.0,5069.0,147.0,81.66,81.76,0.10000000000000853,92.03,92.04,0.010000000000005116,100.0,100.0,0.0,99.96000000000001,99.96000000000001,0.0,81.66,81.76,0.10000000000000853
cross_xy,legacy_stress,19291,1,1,0,0,67.14648113656476,67.48791211975029,0.341430983185532,0.16494547380356311,0.14240902000080147,-0.022536453802761647,2.2566006865440134,2.1601602029997915,-0.09644048354422186,1.470249687085206,1.4694553424429544,-0.0007943446422515876,43.14339934855377,43.13134082689945,-0.01205852165432475,29.28339209650325,29.383281906182283,0.09988980967903416,4284.0,4682.0,398.0,88.8,89.51,0.710000000000008,95.72,95.73,0.010000000000005116,100.0,100.0,0.0,99.98,99.98,0.0,88.8,89.51,0.710000000000008
same_xx,factory_prepolish,19000,1,1,1,1,76.77228075123901,76.834514308809,0.06223355756999638,0.09450756571702788,0.08370227155575724,-0.010805294161270643,0.7514421861937253,0.7084915122405951,-0.042950673953130125,0.0,0.0,0.0,41.79003278394874,41.71887081706879,-0.07116196687994858,25.654509080073534,27.3620088991152,1.707499819041665,2664.0,3298.0,634.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
same_xx,factory_prepolish,19097,1,1,1,1,76.70377414080076,76.89010324262173,0.18632910182097362,0.0878106499616912,0.07816745335144305,-0.00964319661024815,0.7322162541743878,0.7183804272130676,-0.013835826961320241,0.0,0.0,0.0,43.508080755293136,43.42373104117891,-0.0843497141142251,25.65484922624365,27.356452584638326,1.701603358394678,2663.0,3296.0,633.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
same_xx,factory_prepolish,19194,1,1,1,1,72.23959747759297,74.15149988494568,1.9119024073527129,0.08887746597463715,0.0849957167969846,-0.0038817491776525492,0.7242728422280551,0.6768670293101644,-0.0474058129178907,0.24097615469872136,0.1827154865717776,-0.05826066812694375,41.39587705309372,41.295507115749736,-0.10036993734398436,25.652425337323514,29.02658398174093,3.3741586444174168,2663.0,3597.0,934.0,97.31,97.92999999999999,0.6199999999999903,100.0,100.0,0.0,100.0,100.0,0.0,99.86,99.97,0.10999999999999943,97.31,97.92999999999999,0.6199999999999903
same_xx,factory_prepolish,19291,1,1,1,1,76.87952685955409,76.81367559419189,-0.06585126536219832,0.08318137776633344,0.07420275491803685,-0.008978622848296591,0.6968615361057766,0.6414838297688233,-0.05537770633695327,0.0,0.0,0.0,42.19474710763863,42.134672830027526,-0.06007427761110051,25.65398520902202,27.374804280163936,1.7208190711419142,2664.0,3297.0,633.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
