direction_mode,surface_profile,profile_seed,tile_i,tile_j,champion_all4_area_pct,trained_all4_area_pct,delta_all4_area_pct,champion_strict100,trained_strict100,champion_ge95,trained_ge95,champion_ge90,trained_ge90
cross_xy,factory_prepolish,19291,4,0,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19291,4,1,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19291,4,2,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19291,4,3,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish,19291,4,4,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_defect,19000,0,0,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_defect,19000,0,1,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_defect,19000,0,2,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_defect,19000,0,3,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_defect,19000,0,4,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_defect,19000,1,0,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_defect,19000,1,1,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_defect,19000,1,2,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_defect,19000,1,3,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_defect,19000,1,4,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_defect,19000,2,0,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_defect,19000,2,1,100.0,100.0,0.0,1,1,1,1,1,1
cross_xy,factory_prepolish_deep_defect,19000,2,2,88.25,88.25,0.0,0,0,0,0,0,0
cross_xy,factory_prepolish_deep_defect,19000,2,3,88.5,88.5,0.0,0,0,0,0,0,0
