policy_label,direction_mode,sequences,safety_pass,quality_pass,sensor_fault_steps,mean_gu_final,mean_ra_final_um,mean_rz_final_um,mean_scratch_final_um,mean_clearcoat_min_um,mean_temperature_peak_c,mean_control_steps,mean_final_all4_pass_area_pct,surface_profile,tiles_total,tiles_all4_area_100pct,tiles_all4_area_ge95pct,tiles_all4_area_ge90pct,tiles_all4_area_ge80pct,all4_cells_pass,surface_cells_total,all4_cell_area_pct
s20260831_it211,cross_xy,4,4,4,0,73.28772559164142,0.09093148756822772,1.2706531584614835,1.0004734076466668,41.338378837489685,29.564412455360912,3704.5,96.21,factory_prepolish_deep_stress,100,78,84,85,90,38484,40000,96.21
s20260831_it211,cross_xy,4,4,0,0,62.65367117276646,0.14582943735814732,2.0034592949471266,1.3810283872462379,43.32321282195075,29.820168082388747,5487.25,77.60249999999999,legacy_stress,100,27,38,42,49,31041,40000,77.6025
s20260831_it211,same_xx,4,4,4,0,74.64883001741627,0.0825773328702401,0.7993792839892835,0.2560026658219529,41.358598796224456,28.735662881428418,3378.0,97.945,factory_prepolish,100,84,90,91,96,39178,40000,97.945
s20260831_it211,same_xx,4,4,4,0,73.54759829190012,0.08771941732693216,1.0155667302275175,0.5951605853731284,41.3519486445907,29.288789944321422,3704.5,96.2775,factory_prepolish_deep_defect,100,78,84,85,91,38511,40000,96.2775
s20260831_it211,same_xx,4,4,4,0,73.18456695464181,0.0905509526738073,1.273704406647874,0.9933000261577438,41.35267196699488,29.326953893624808,3712.25,96.205,factory_prepolish_deep_stress,100,78,84,85,90,38482,40000,96.205
s20260831_it211,same_xx,4,4,0,0,62.694690989605824,0.14826847294416512,2.004797470966321,1.3827767157656732,43.32532733161153,29.569189645482318,5509.25,77.675,legacy_stress,100,27,38,42,50,31070,40000,77.675
s20260832_it260,cross_xy,4,4,4,0,74.94086614710687,0.07736748976937854,0.7627756002012256,0.24416390728487755,41.166051172375205,29.06948088517123,4402.0,98.18,factory_prepolish,100,85,91,92,96,39272,40000,98.18
s20260832_it260,cross_xy,4,4,4,0,73.92298545659392,0.07984131132651456,0.9529378160274096,0.5889322194644108,41.15730669834528,29.585116353359986,4613.75,96.51749999999998,factory_prepolish_deep_defect,100,79,85,86,91,38607,40000,96.5175
s20260832_it260,cross_xy,4,4,4,0,73.54146951059252,0.082725944777875,1.2095376662019717,0.9854452308359031,41.158179622797675,29.59274112213907,4628.25,96.4425,factory_prepolish_deep_stress,100,79,85,86,91,38577,40000,96.4425
s20260832_it260,cross_xy,4,4,1,0,62.870276466023896,0.136651990717159,1.9539456363959675,1.376460884274897,43.268634067549755,29.799793661584392,5851.25,77.8225,legacy_stress,100,27,39,43,50,31129,40000,77.8225
s20260832_it260,same_xx,4,4,4,0,74.96706886530599,0.07735017711232291,0.7547569483280175,0.2420762637013769,41.16892642180135,28.929721457571574,4405.25,98.19,factory_prepolish,100,85,91,92,96,39276,40000,98.19
s20260832_it260,same_xx,4,4,4,0,73.94533855472122,0.07951173482375959,0.9527386998466085,0.5804229664367597,41.165658589855376,29.37192014059957,4626.75,96.53750000000001,factory_prepolish_deep_defect,100,79,85,86,91,38615,40000,96.5375
s20260832_it260,same_xx,4,4,4,0,73.5560028514687,0.0820350654331389,1.2085972234621465,0.9786876750904259,41.16702901086521,29.378931143003683,4629.5,96.4525,factory_prepolish_deep_stress,100,79,85,86,90,38581,40000,96.4525
s20260832_it260,same_xx,4,4,1,0,62.92843800683345,0.13640042249294898,1.9479594119408232,1.3780230758019498,43.26907161463235,29.56130840508389,5905.25,78.22,legacy_stress,100,27,42,44,50,31288,40000,78.22
s20260833_it211,cross_xy,4,4,4,0,74.96815249094168,0.07442514534458616,0.6987810445526697,0.23150526093184587,40.986245063374234,29.639667723897784,6397.5,98.33999999999999,factory_prepolish,100,85,92,92,97,39336,40000,98.34
s20260833_it211,cross_xy,4,4,4,0,73.96571542813696,0.07737958138413853,0.8867228756406869,0.5765286852773677,40.986217230274086,29.512302641068178,6347.75,96.6875,factory_prepolish_deep_defect,100,79,86,86,92,38675,40000,96.6875
s20260833_it211,cross_xy,4,4,4,0,73.55402870958552,0.07976005527725079,1.1413381836451013,0.9801367958008349,40.98703488172623,29.471874446458358,6347.25,96.6,factory_prepolish_deep_stress,100,79,86,86,92,38640,40000,96.6
s20260833_it211,cross_xy,4,4,1,0,61.84115635905519,0.11261826235823019,1.8590831991713008,1.4211189071268664,43.21488704338279,29.4662025209779,6105.0,77.88,legacy_stress,100,29,42,44,49,31152,40000,77.88
s20260833_it211,same_xx,4,4,4,0,75.02370939540218,0.07568682188656418,0.7015306081178544,0.22714845926944818,40.986443749211816,29.512887089471143,6400.25,98.4075,factory_prepolish,100,87,92,92,96,39363,40000,98.4075
s20260833_it211,same_xx,4,4,4,0,73.97805558150813,0.07841921674464764,0.8841727434746618,0.5757612491687364,40.98767083446431,29.463946434861654,6346.5,96.775,factory_prepolish_deep_defect,100,81,86,86,91,38710,40000,96.775
s20260833_it211,same_xx,4,4,4,0,73.561533362503,0.0808353024004076,1.1399459683664812,0.9794611530648267,40.988562609847975,29.46400933010159,6345.75,96.66,factory_prepolish_deep_stress,100,82,86,86,91,38664,40000,96.66
s20260833_it211,same_xx,4,4,1,0,61.97434745830484,0.11289248045110706,1.859549074963267,1.4233864743866966,43.20578586199267,29.305637439879327,6112.25,78.04749999999999,legacy_stress,100,28,43,45,50,31219,40000,78.0475
