env,control_step,substep,force_sensor_raw_n,force_sensor_filt_n,force_model_n,force_used_n,force_cmd_n,pad_gap_m,pad_in_patch,normal_alignment_error_deg,sensor_fault,hard_latched_before,hard_latched_after,latch_event,parent_force_action,executed_force_action,executed_feed_action,geometry_risk,force_cap_action,predictive_force_cap_action,predicted_force_n,shield_force_command_n,shield_feed_command_mm_s,observed_force_mean_n,observed_force_delta_n,shield_mode,surface_kind,direction_mode,surface_profile,profile_seed
3,1,3,0.0,0.0,0.41968220472335815,0.0,4.044600009918213,0.3134702444076538,0,50.64811706542969,0,0,0,0,0.15929141640663147,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_stress,40000
0,1,4,0.0,0.0,0.4198570251464844,0.0,4.044600009918213,0.28571203351020813,0,48.72964859008789,0,0,0,0,0.15929141640663147,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
1,1,4,0.0,0.0,0.4198570251464844,0.0,4.044600009918213,0.28571203351020813,0,48.72964859008789,0,0,0,0,0.15929141640663147,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish,40000
2,1,4,0.0,0.0,0.4198570251464844,0.0,4.044600009918213,0.2857118546962738,0,48.72956085205078,0,0,0,0,0.15929141640663147,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_defect,40000
3,1,4,0.0,0.0,0.4198570251464844,0.0,4.044600009918213,0.2857118546962738,0,48.72956085205078,0,0,0,0,0.15929141640663147,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_stress,40000
0,1,5,0.0,0.0,0.4199356734752655,0.0,4.044600009918213,0.25730395317077637,0,45.99606704711914,0,0,0,0,0.15929141640663147,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
1,1,5,0.0,0.0,0.4199356734752655,0.0,4.044600009918213,0.25730395317077637,0,45.99606704711914,0,0,0,0,0.15929141640663147,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish,40000
2,1,5,0.0,0.0,0.4199356734752655,0.0,4.044600009918213,0.25730377435684204,0,45.9959831237793,0,0,0,0,0.15929141640663147,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_defect,40000
3,1,5,0.0,0.0,0.4199356734752655,0.0,4.044600009918213,0.25730377435684204,0,45.9959831237793,0,0,0,0,0.15929141640663147,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_stress,40000
0,2,0,0.0,0.0,0.4199710488319397,0.0,4.044600009918213,0.23029959201812744,0,43.149662017822266,0,0,0,0,0.15925249457359314,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
