source_run,env,roi_total_ra_um,roi_total_rz_um,roi_fine_ra_um,roi_fine_rz_um,roi_ra_low_frequency_contribution_um,roi_rz_low_frequency_contribution_um,roi_removal_mean_um,roi_removal_std_um,roi_removal_cv,roi_removal_max_min_um,roi_removal_p95_p05_um,roi_removal_waviness_ra_um,roi_removal_waviness_rz_um,roi_removal_waviness_std_um,roi_removal_fine_std_um,roi_center_removal_mean_um,roi_edge_removal_mean_um,roi_center_edge_delta_um,roi_center_edge_ratio,roi_under_fraction,roi_over_fraction,roi_coverage_fraction,roi_scratch_mean_um,roi_scratch_max_um,roi_clearcoat_min_um,waviness_sigma_m,under_over_fraction,surface_profile,profile_seed,design_status,base_ra_target_um,shallow_scratch_count,deep_scratch_count,sampled_shallow_depth_max_um,sampled_deep_depth_um,profile_gu_mean,profile_gu_p10,profile_gu_min,path_mode,direction_mode
/home/rokey/cacadaca/learning/rl/robot/results/gate_c_factory_crossxy_48_20260831_014100,20,0.11876672905962005,1.2033863026657305,0.09830878320140364,1.0244250727976514,0.020457945858216406,0.17896122986807916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031764960682666783,0.8510373171949499,44.376281342262715,0.01,0.2,factory_prepolish_deep_defect,1388,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.11559498746765973,1,1,0.5137294961585614,0.8743866803101294,68.8284563231286,48.77852552706008,25.442294912347208,gate_c,cross_xy
/home/rokey/cacadaca/learning/rl/robot/results/gate_c_factory_crossxy_48_20260831_014100,21,0.11687204314080017,1.0286229065088384,0.09835501820875173,0.9391239655981147,0.018517024932048445,0.08949894091072363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026707493262234927,0.6703789184474823,41.48643851158405,0.01,0.2,factory_prepolish_deep_defect,1485,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.11558812500936029,0,1,0.0,0.7370798189989305,71.60199706606534,67.87626492416585,44.02803335038078,gate_c,cross_xy
/home/rokey/cacadaca/learning/rl/robot/results/gate_c_factory_crossxy_48_20260831_014100,22,0.11159330063236474,1.3615158418346907,0.09207459384837668,1.178635134022649,0.019518706783988052,0.18288070781204158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059745000472752,0.7766036562025516,42.82015241180491,0.01,0.2,factory_prepolish_deep_defect,1582,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.10517280178357363,2,1,0.5073451710122424,0.8622426220684176,68.13185520300894,46.679325991487,25.49490403889133,gate_c,cross_xy
/home/rokey/cacadaca/learning/rl/robot/results/gate_c_factory_crossxy_48_20260831_014100,23,0.11558547005403952,0.964720358700348,0.0964353792695121,0.8949592446503345,0.019150090784527424,0.0697611140500135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033795144000625882,0.6386380561147917,42.45584235794818,0.01,0.2,factory_prepolish_deep_defect,1679,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.11401751360272205,2,1,0.5815056003993043,0.7415462990311492,70.36675576987747,52.10186529174422,45.6213458704683,gate_c,cross_xy
/home/rokey/cacadaca/learning/rl/robot/results/gate_c_factory_crossxy_48_20260831_014100,24,0.11945370372897118,1.0986209453285602,0.09627234954507279,0.9200558207174,0.023181354183898398,0.17856512461116025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038152750061151166,0.7220542367201862,43.299364234813154,0.01,0.2,factory_prepolish_deep_defect,1776,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.11666000069240172,2,1,0.40767715885759104,0.8631199697001102,68.02517906576276,50.824573913227816,25.45525265282569,gate_c,cross_xy
/home/rokey/cacadaca/learning/rl/robot/results/gate_c_factory_crossxy_48_20260831_014100,25,0.12258505891576314,1.2371052514626726,0.0992211734105285,1.1783907533170783,0.023363885505234647,0.05871449814559426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027859254106346485,0.8210695939024198,42.23030124587549,0.01,0.2,factory_prepolish_deep_defect,1873,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.11966917940868048,1,1,0.18983197750436212,0.8656293163447757,71.62902263839975,68.82071574016129,41.04195624075472,gate_c,cross_xy
/home/rokey/cacadaca/learning/rl/robot/results/gate_c_factory_crossxy_48_20260831_014100,26,0.11279844435375397,1.142787033960453,0.0957169830051817,0.9865629278045687,0.017081461348572274,0.15622410615588422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003916494591396974,0.9377966043874425,43.36197265226435,0.01,0.2,factory_prepolish_deep_defect,1970,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.1100271737728176,0,1,0.0,0.9642897651879729,71.31621761372739,56.24286117932989,35.457374945992754,gate_c,cross_xy
/home/rokey/cacadaca/learning/rl/robot/results/gate_c_factory_crossxy_48_20260831_014100,27,0.10520522129936272,1.3461364958193163,0.0841357083024652,1.2190113617113498,0.02106951299689752,0.12712513410796644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005053444181564127,0.9429587756653748,42.4550844401288,0.01,0.2,factory_prepolish_deep_defect,2067,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.10055515083731008,0,1,0.0,0.9616945752328387,71.48567361727625,52.57904429194526,34.439154431567275,gate_c,cross_xy
/home/rokey/cacadaca/learning/rl/robot/results/gate_c_factory_crossxy_48_20260831_014100,28,0.1143514763563519,1.1237669613610017,0.09507604011209983,0.9546043004549513,0.01927543624425207,0.16916266090605048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032117477057396968,0.814111216168127,43.73662265295658,0.01,0.2,factory_prepolish_deep_defect,2164,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.11091362306144106,0,1,0.0,0.9277629290925233,71.10866224709932,59.5498913942149,38.338899858545496,gate_c,cross_xy
/home/rokey/cacadaca/learning/rl/robot/results/gate_c_factory_crossxy_48_20260831_014100,29,0.11451530511385685,0.9326839963437423,0.09080083422876556,0.8298587085912884,0.023714470885091293,0.10282528775245392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017996454232874696,0.7009594094841549,42.308119439972394,0.01,0.2,factory_prepolish_deep_defect,2261,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.1138190177947911,0,1,0.0,0.7551670893959925,72.8479194215174,70.41203946622025,44.23722472273056,gate_c,cross_xy
