observation_mode,observation_dim,feature_name,n,mean,std,min,max
spatial120,120,tile_over_fraction_x2_y3_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_over_fraction_x2_y4_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_over_fraction_x3_y0_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_over_fraction_x3_y1_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_over_fraction_x3_y2_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_over_fraction_x3_y3_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_over_fraction_x3_y4_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_over_fraction_x4_y0_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_over_fraction_x4_y1_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_over_fraction_x4_y2_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_over_fraction_x4_y3_norm,15,0.0,0.0,0.0,0.0
spatial120,120,tile_over_fraction_x4_y4_norm,15,0.0,0.0,0.0,0.0
