shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,outcome,quality_ok,safety_ok,force_hard_violated,thermal_hard_violated,unstable_hard_violated,control_steps,contact_steps,sensor_fault_steps,raw_force_max_n,normal_alignment_error_max_deg,parent_force_action_mean,executed_force_action_mean,parent_feed_action_mean,executed_feed_action_mean,shield_step_fraction,force_action_cap_mean,force_action_cap_min,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,before_gu_pass_area_pct,before_tile_gu_pass_area_pct_mean,before_tile_gu_pass_area_pct_min,before_tile_gu_pass_area_pct_p10,before_ra_pass_area_pct,before_tile_ra_pass_area_pct_mean,before_tile_ra_pass_area_pct_min,before_tile_ra_pass_area_pct_p10,before_rz_pass_area_pct,before_tile_rz_pass_area_pct_mean,before_tile_rz_pass_area_pct_min,before_tile_rz_pass_area_pct_p10,before_scratch_pass_area_pct,before_tile_scratch_pass_area_pct_mean,before_tile_scratch_pass_area_pct_min,before_tile_scratch_pass_area_pct_p10,before_all4_pass_area_pct,before_tile_all4_pass_area_pct_mean,before_tile_all4_pass_area_pct_min,before_tile_all4_pass_area_pct_p10,before_clearcoat_pass_area_pct,before_tile_clearcoat_pass_area_pct_mean,before_tile_clearcoat_pass_area_pct_min,before_tile_clearcoat_pass_area_pct_p10,before_temperature_pass_area_pct,before_tile_temperature_pass_area_pct_mean,before_tile_temperature_pass_area_pct_min,before_tile_temperature_pass_area_pct_p10,final_gu_pass_area_pct,final_tile_gu_pass_area_pct_mean,final_tile_gu_pass_area_pct_min,final_tile_gu_pass_area_pct_p10,final_ra_pass_area_pct,final_tile_ra_pass_area_pct_mean,final_tile_ra_pass_area_pct_min,final_tile_ra_pass_area_pct_p10,final_rz_pass_area_pct,final_tile_rz_pass_area_pct_mean,final_tile_rz_pass_area_pct_min,final_tile_rz_pass_area_pct_p10,final_scratch_pass_area_pct,final_tile_scratch_pass_area_pct_mean,final_tile_scratch_pass_area_pct_min,final_tile_scratch_pass_area_pct_p10,final_all4_pass_area_pct,final_tile_all4_pass_area_pct_mean,final_tile_all4_pass_area_pct_min,final_tile_all4_pass_area_pct_p10,final_clearcoat_pass_area_pct,final_tile_clearcoat_pass_area_pct_mean,final_tile_clearcoat_pass_area_pct_min,final_tile_clearcoat_pass_area_pct_p10,final_temperature_pass_area_pct,final_tile_temperature_pass_area_pct_mean,final_tile_temperature_pass_area_pct_min,final_tile_temperature_pass_area_pct_p10
control,freeform,same_xx,factory_prepolish_deep_stress,3,33000,success,True,True,False,False,False,3726,3626,0,12.411579132080078,88.2453384399414,0.6998997232744243,0.6998997232744243,-0.22443001625646491,-0.22443001625646491,0.0,1.0,1.0,72.45535958785128,74.45332708646002,0.10769956744699889,0.09375762550793282,1.4882933957642661,1.2836345650354128,1.2342169080740133,1.2100345896685574,44.92253577481513,29.078076245991923,97.67,97.67,73.25,91.30000000000001,99.56,99.56,89.0,100.0,100.0,100.0,100.0,100.0,99.96000000000001,99.96,99.25,100.0,97.67,97.67,73.25,91.30000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.28,98.28,83.0,93.25,99.57000000000001,99.57,89.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.28,98.28,83.0,93.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,same_xx,legacy_stress,0,33000,fail_max_passes,False,True,False,False,False,5354,5254,0,11.013774871826172,88.24533081054688,0.8872995790849771,0.8872995790849771,-0.764606568736202,-0.764606568736202,0.0,1.0,1.0,59.55281437070864,65.19749778546006,0.11785949039544316,0.10515911771173371,2.199016327310254,2.184298773352399,1.890045173148816,1.7039887581440714,42.23998807207815,29.570680513719203,84.26,84.26,40.0,53.449999999999996,94.38,94.38,65.0,81.8,100.0,100.0,100.0,100.0,99.72,99.72,97.5,99.35,84.26,84.26,40.0,53.449999999999996,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.59,85.59,42.75,56.150000000000006,96.03,96.03,70.25,87.9,100.0,100.0,100.0,100.0,99.97,99.97,99.5,100.0,85.59,85.59,42.75,56.150000000000006,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,33000,success,True,True,False,False,False,3716,3616,0,11.833740234375,53.346580505371094,0.7135373064496257,0.7135373064496257,-0.21938996072918723,-0.21938996072918723,0.0,1.0,1.0,73.64050720827028,75.54615034073076,0.10565167146721956,0.09367303623510329,0.9009855584762825,0.8149471524753984,0.47406578645426295,0.35311775067923357,44.9189436585404,29.073632846081416,98.35000000000001,98.35,73.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.97,99.97,99.25,100.0,98.35000000000001,98.35,73.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.96000000000001,98.96,85.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.96000000000001,98.96,85.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish_deep_defect,2,33000,success,True,True,False,False,False,3728,3628,0,11.010851860046387,53.346534729003906,0.7142586084462447,0.7142586084462447,-0.22566344405128722,-0.22566344405128722,0.0,1.0,1.0,72.55938204198742,74.59526783633905,0.10692765102569458,0.09302024002551379,1.101674374615242,0.9382035836909957,0.8089169129540905,0.7845911473966087,44.919236246166726,29.07365990275038,97.69,97.69,73.25,91.30000000000001,99.79,99.79,94.75,100.0,100.0,100.0,100.0,100.0,99.96000000000001,99.96,99.25,100.0,97.69,97.69,73.25,91.30000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.34,98.34,84.5,93.25,99.81,99.81,95.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.34,98.34,84.5,93.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish_deep_stress,3,33000,success,True,True,False,False,False,3729,3629,0,11.18773078918457,53.346534729003906,0.7141192075245724,0.7141192075245724,-0.22571813962808177,-0.22571813962808177,0.0,1.0,1.0,72.45535958785128,74.45719980921947,0.10769956744699889,0.09354182972734472,1.4882933957642661,1.282216711837823,1.2342169080740133,1.210452291249192,44.91902971409145,29.06840170642759,97.67,97.67,73.25,91.30000000000001,99.56,99.56,89.0,100.0,100.0,100.0,100.0,100.0,99.96000000000001,99.96,99.25,100.0,97.67,97.67,73.25,91.30000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.28,98.28,83.0,93.25,99.57000000000001,99.57,89.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.28,98.28,83.0,93.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,legacy_stress,0,33000,fail_max_passes,False,True,False,False,False,5366,5266,0,9.409684181213379,53.346580505371094,0.8927916227241105,0.8927916227241105,-0.7673948436851904,-0.7673948436851904,0.0,1.0,1.0,59.55281437070864,65.21312976275125,0.11785949039544316,0.10486512249899893,2.199016327310254,2.1852434805858176,1.890045173148816,1.7038293781534297,42.2345083012791,29.555875152974533,84.26,84.26,40.0,53.449999999999996,94.38,94.38,65.0,81.8,100.0,100.0,100.0,100.0,99.72,99.72,97.5,99.35,84.26,84.26,40.0,53.449999999999996,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.6,85.6,42.75,56.150000000000006,96.03,96.03,70.25,87.9,100.0,100.0,100.0,100.0,99.97,99.97,99.5,100.0,85.6,85.6,42.75,56.150000000000006,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
static_cap,cylinder,same_xx,factory_prepolish,1,33000,success,True,True,False,False,False,3654,3554,0,12.759016990661621,48.52778244018555,0.5979558997688132,0.40643731832349306,-0.18971208053359126,-0.18971208053359126,0.6639299397920088,0.5,0.5,73.64050720827028,75.55449006675256,0.10565167146721956,0.09197719417456351,0.9009855584762825,0.8098275196198902,0.47406578645426295,0.36302037412823485,44.94013667127664,28.347117601879237,98.35000000000001,98.35,73.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.97,99.97,99.25,100.0,98.35000000000001,98.35,73.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.9,98.9,84.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.9,98.9,84.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
static_cap,cylinder,same_xx,factory_prepolish_deep_stress,3,33000,success,True,True,False,False,False,3666,3566,0,12.521269798278809,48.529090881347656,0.5995860094122235,0.40619848050132384,-0.19563690174535625,-0.19563690174535625,0.6639388979814512,0.5,0.5,72.45535958785128,74.45489370569571,0.10769956744699889,0.09202530319230644,1.4882933957642661,1.289807346152454,1.2342169080740133,1.2127582050576275,44.939894757771874,28.348321906269806,97.67,97.67,73.25,91.30000000000001,99.56,99.56,89.0,100.0,100.0,100.0,100.0,100.0,99.96000000000001,99.96,99.25,100.0,97.67,97.67,73.25,91.30000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.22,98.22,83.0,93.10000000000001,99.57000000000001,99.57,89.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.22,98.22,83.0,93.10000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
static_cap,cylinder,same_xx,factory_prepolish_deep_defect,2,33000,success,True,True,False,False,False,3667,3567,0,13.380904197692871,48.529090881347656,0.5999148908747552,0.4066015478901165,-0.1960776838648456,-0.1960776838648456,0.6651213526043087,0.5,0.5,72.55938204198742,74.58722993590321,0.10692765102569458,0.09142798210230287,1.101674374615242,0.9417237706209398,0.8089169129540905,0.7879723421486257,44.93986121669186,28.346950338360518,97.69,97.69,73.25,91.30000000000001,99.79,99.79,94.75,100.0,100.0,100.0,100.0,100.0,99.96000000000001,99.96,99.25,100.0,97.69,97.69,73.25,91.30000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.28,98.28,84.0,93.10000000000001,99.81,99.81,95.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.28,98.28,84.0,93.10000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
static_cap,cylinder,same_xx,legacy_stress,0,33000,fail_max_passes,False,True,False,False,False,5353,5253,0,11.905853271484375,48.52778244018555,0.8599366691793746,0.458411239308886,-0.7644615836250833,-0.7644615836250833,0.8877265084999066,0.5,0.5,59.55281437070864,64.80149544961314,0.11785949039544316,0.1005937119156635,2.199016327310254,2.159421007090062,1.890045173148816,1.726550060984719,42.283633660981224,28.80298452380524,84.26,84.26,40.0,53.449999999999996,94.38,94.38,65.0,81.8,100.0,100.0,100.0,100.0,99.72,99.72,97.5,99.35,84.26,84.26,40.0,53.449999999999996,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.32,85.32,42.5,55.85,95.69,95.69,69.25,86.5,100.0,100.0,100.0,100.0,99.97,99.97,99.5,100.0,85.32,85.32,42.5,55.85,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
