stage,candidate,direction_mode,surface_profile,profile_seed,champion_quality_ok,candidate_quality_ok,champion_safety_ok,candidate_safety_ok,champion_sensor_fault_steps,candidate_sensor_fault_steps,champion_gu_final,candidate_gu_final,delta_gu_final,champion_ra_final_um,candidate_ra_final_um,delta_ra_final_um,champion_rz_final_um,candidate_rz_final_um,delta_rz_final_um,champion_scratch_final_um,candidate_scratch_final_um,delta_scratch_final_um,champion_clearcoat_min_um,candidate_clearcoat_min_um,delta_clearcoat_min_um,champion_temperature_peak_c,candidate_temperature_peak_c,delta_temperature_peak_c,champion_control_steps,candidate_control_steps,delta_control_steps
screen,actor3,same_xx,factory_prepolish_deep_defect,15000,0,0,1,1,0,0,69.66820834539472,69.63386168276473,-0.03434666262998576,0.09873833170031111,0.09858907036726745,-0.00014926133304365985,0.9135160507905775,0.9123508170253221,-0.0011652337652554579,0.5452669080352787,0.5471780785350709,0.0019111704997922807,43.70750998371414,43.710155234153206,0.00264525043906616,28.84791225531458,28.742334912226685,-0.10557734308789435,2995.0,2957.0,-38.0
screen,actor3,same_xx,factory_prepolish_deep_defect,15097,1,1,1,1,0,0,73.20010411734216,73.17768488050663,-0.02241923683553182,0.08453299626531392,0.08361322761250932,-0.0009197686528046034,0.7365570024789014,0.733853439301348,-0.002703563177553381,0.4822717459026963,0.4855081622850252,0.0032364163823289105,41.54004393329242,41.56030605508199,0.020262121789571097,29.299354945676946,29.163240268060697,-0.13611467761624851,3292.0,3241.0,-51.0
screen,actor3,same_xx,factory_prepolish_deep_stress,15000,0,0,1,1,0,0,69.49525199193693,69.46687274156044,-0.028379250376488585,0.10299190604474948,0.10294217150919853,-4.9734535550946535e-05,1.0142881086500812,1.013293707993018,-0.0009944006570632435,0.9111956110696762,0.9120116433168802,0.0008160322472040571,43.70755480069187,43.70994816322158,0.0023933625297161143,28.871988232357182,28.859213429526474,-0.012774802830708865,3087.0,3058.0,-29.0
screen,actor3,same_xx,factory_prepolish_deep_stress,15097,1,1,1,1,0,0,73.00442145178432,72.97824816436217,-0.026173287422153635,0.0857886799518343,0.08536228534318387,-0.0004263946086504322,0.8206615009540412,0.8195377548826808,-0.0011237460713604541,0.8759806386337448,0.8774893008674813,0.0015086622337365796,41.54265167224066,41.55196993331409,0.0093182610734317,29.311068192715904,29.186843431007144,-0.12422476170875996,3300.0,3263.0,-37.0
screen,actor3,same_xx,legacy_stress,15000,0,0,1,1,0,0,59.31844808575995,59.271492537756785,-0.046955548003161596,0.1378403746377113,0.1376713540306561,-0.00016902060705517585,2.026150375190938,2.0274729898780772,0.001322614687139012,1.5005101320222178,1.5020065692054339,0.001496437183216015,41.35135987967727,41.360503074806864,0.009143195129595938,29.57796833733166,29.559162845977088,-0.018805491354573434,5794.0,5772.0,-22.0
screen,actor3,same_xx,legacy_stress,15097,0,0,1,1,0,0,69.7159883291652,69.70893325235467,-0.007055076810530636,0.11362736292523741,0.11357009831705607,-5.726460818133994e-05,1.9985640191460148,1.9970966579551659,-0.0014673611908488926,1.6422648027980578,1.6435138161397118,0.0012490133416540594,40.920936827723295,40.92276792293853,0.0018310952152376103,29.577682141970982,29.54649746152639,-0.03118468044459277,3938.0,3923.0,-15.0
screen,actor5,same_xx,factory_prepolish,15000,0,1,1,1,0,0,69.99872774657975,70.02583009230212,0.027102345722369137,0.09489176834976333,0.09468504589830552,-0.0002067224514578081,0.8278341642277018,0.8270488247069431,-0.0007853395207587655,0.346248221021473,0.3459210503293986,-0.00032717069207438554,43.71353219882311,43.71115078027447,-0.0023814185486372708,25.6562965535015,25.689008789589575,0.03271223608807361,2664.0,2672.0,8.0
screen,actor5,same_xx,factory_prepolish,15097,1,1,1,1,0,0,73.63818093970717,73.6433737696005,0.005192829893331918,0.07909760809334884,0.07910306442308135,5.456329732506093e-06,0.6856351134555081,0.6836286166421577,-0.0020064968133504113,0.30464628227144613,0.300124076612057,-0.004522205659389156,41.92398109597981,41.92041879679161,-0.0035622991882036104,28.61278424717953,28.462092782089954,-0.15069146508957587,2872.0,2894.0,22.0
screen,actor5,same_xx,factory_prepolish_deep_defect,15000,0,0,1,1,0,0,69.66820834539472,69.68445423264986,0.016245887255138314,0.09873833170031111,0.09794554316231567,-0.0007927885379954425,0.9135160507905775,0.9092369501748911,-0.004279100615686371,0.5452669080352787,0.5475099754255238,0.002243067390245157,43.70750998371414,43.70554284969445,-0.0019671340196865117,28.84791225531458,28.671994957369428,-0.17591729794515132,2995.0,2976.0,-19.0
screen,actor5,same_xx,factory_prepolish_deep_defect,15097,1,1,1,1,0,0,73.20010411734216,73.2094057869243,0.00930166958212908,0.08453299626531392,0.08255293966443598,-0.0019800566008779386,0.7365570024789014,0.7297840404614819,-0.006772962017419504,0.4822717459026963,0.48582344607988237,0.00355170017718609,41.54004393329242,41.560871729584456,0.020827796292039125,29.299354945676946,29.125037441450093,-0.17431750422685255,3292.0,3273.0,-19.0
screen,actor5,same_xx,factory_prepolish_deep_stress,15000,0,0,1,1,0,0,69.49525199193693,69.51901824781464,0.023766255877717413,0.10299190604474948,0.10205098931432173,-0.000940916730427746,1.0142881086500812,1.0089411605575649,-0.005346948092516346,0.9111956110696762,0.9134258566428333,0.002230245573157097,43.70755480069187,43.70532267228495,-0.002232128406916445,28.871988232357182,28.770160026892444,-0.10182820546473792,3087.0,3072.0,-15.0
screen,actor5,same_xx,factory_prepolish_deep_stress,15097,1,1,1,1,0,0,73.00442145178432,73.01742135705682,0.012999905272494061,0.0857886799518343,0.08405686637405994,-0.0017318135777743549,0.8206615009540412,0.8152368295383978,-0.005424671415643401,0.8759806386337448,0.8774881540177735,0.0015075153840287125,41.54265167224066,41.55550195874368,0.012850286503024222,29.311068192715904,29.14862894588294,-0.16243924683296385,3300.0,3297.0,-3.0
screen,actor5,same_xx,legacy_stress,15000,0,0,1,1,0,0,59.31844808575995,59.227006045521215,-0.09144204023873215,0.1378403746377113,0.13711473588769857,-0.0007256387500127193,2.026150375190938,2.0296652047523134,0.0035148295613751657,1.5005101320222178,1.5019172506029954,0.0014071185807775777,41.35135987967727,41.36513915507819,0.013779275400921165,29.57796833733166,29.51410321517296,-0.06386512215870255,5794.0,5712.0,-82.0
screen,actor5,same_xx,legacy_stress,15097,0,0,1,1,0,0,69.7159883291652,69.69547505789278,-0.020513271272420752,0.11362736292523741,0.11320385607863763,-0.00042350684659978044,1.9985640191460148,1.9968221080679274,-0.0017419110780874103,1.6422648027980578,1.6433554362692315,0.0010906334711737742,40.920936827723295,40.91894662673761,-0.0019902009856878067,29.577682141970982,29.556833958658537,-0.0208481833124452,3938.0,3920.0,-18.0
