candidate_id,kind,curvature_radius_m,freeform_seed,direction_mode,step_over_ratio,edge_mode,path_line_count,path_sample_count,path_length_3d_m,surface_height_min_m,surface_height_max_m,surface_height_range_m,surface_tilt_max_deg,path_tilt_mean_deg,path_tilt_max_deg,pad_footprint_normal_change_max_deg,pad_footprint_normal_change_p95_deg,local_tangent_plane_deviation_max_m,local_tangent_plane_deviation_p95_m,vertical_pad_height_deviation_max_m,minimum_quality_map_projected_margin_m,minimum_physical_mesh_projected_margin_m,quality_map_projected_footprint_inside,physical_mesh_projected_footprint_inside,coverage_any_fraction,coverage_effective_fraction,exposure_cv,exposure_min_norm,exposure_p05_norm,exposure_p95_norm,tile_exposure_min_norm,tile_exposure_max_norm,tile_exposure_range_norm,mesh_vertex_count,mesh_triangle_count,mesh_minimum_face_normal_z,all_finite,metric_status,geometry_rank
freeform_s0,freeform,0.6,0,same_xx,0.4,balanced_extend5,10,530,2.1003726252272856,-0.001890369458686358,0.0013845706666927111,0.003274940125379069,2.636224162501382,1.073987553903498,2.532841801021185,3.6183274736668536,3.3714369462843803,0.0018314234587655472,0.0017240892234603358,0.002176354596799512,0.001974512010858097,0.0219745120108581,True,True,1.0,1.0,0.1504870319902983,0.42784881311559864,0.6912567194583015,1.1429432938544994,0.831421953570226,1.11984015331531,0.288418199745084,1681,3200,0.9989516027347911,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,11
freeform_s0,freeform,0.6,0,cross_xy,0.4,balanced_extend5,10,530,2.100235307471743,-0.001890369458686358,0.0013845706666927111,0.003274940125379069,2.636224162501382,1.0762018465311731,2.532841801021185,3.7052323157674376,3.4767385378787408,0.0019007952530746153,0.0017676917836386803,0.002242760293075899,0.001964932103105131,0.021964932103105135,True,True,1.0,1.0,0.14631517656598197,0.42786523859104264,0.6997152162111313,1.1357130486477747,0.8314438479375079,1.1191283689361384,0.2876845209986305,1681,3200,0.9989516027347911,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,12
cylinder_r0p60,cylinder,0.6,0,cross_xy,0.4,balanced_extend5,10,530,2.1054326711499143,-0.02701134391682758,-3.333342592615196e-06,0.027008010574234964,17.257504944551705,5.040104128705362,9.886565639649493,5.489574592394545,5.358218055143532,0.021524813150052315,0.02002586234688411,0.011866676531786635,0.0011520485200772757,0.021152048520077293,True,True,1.0,1.0,0.14500608256662692,0.44183021275185536,0.7038977853196393,1.1352160395328452,0.8335520427568375,1.1194405348753127,0.2858884921184752,1681,3200,0.9562627708119994,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,13
cylinder_r0p60,cylinder,0.6,0,same_xx,0.4,balanced_extend5,10,530,2.1108653422998285,-0.02701134391682758,-3.333342592615196e-06,0.027008010574234964,17.257504944551705,5.024500378171975,9.886565639649493,5.489574592394545,5.369650559134711,0.021524813150052315,0.020774683100586045,0.011866676531786635,0.0011520485200772757,0.021152048520077293,True,True,1.0,1.0,0.1480212010302241,0.4320422819637496,0.6995034438927537,1.1355686160360867,0.8353936212078955,1.1174024068474668,0.2820087856395713,1681,3200,0.9562627708119994,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,14
sphere_r0p60,sphere,0.6,0,cross_xy,0.4,balanced_extend5,10,530,2.110986097450761,-0.0553606698006468,-6.66670370408351e-06,0.05535400309694272,24.806181855446674,7.8161623051917735,13.050669534865563,6.006980506958939,5.8350060798045815,0.030574318340777926,0.027361063405039573,0.015468179351404099,0.0005228570790703491,0.020522857079070367,True,True,1.0,1.0,0.1453665141319697,0.4609234066952473,0.7057944555174611,1.136764527982229,0.835746996011749,1.1223520153577682,0.28660501934601923,1681,3200,0.9100071456249962,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,15
sphere_r0p60,sphere,0.6,0,same_xx,0.4,balanced_extend5,10,530,2.110986097450761,-0.0553606698006468,-6.66670370408351e-06,0.05535400309694272,24.806181855446674,7.8161623051917735,13.050669534865563,6.006980506958939,5.8350060798045815,0.030574318340777926,0.027361063405039573,0.015468179351404099,0.0005228570790703491,0.020522857079070367,True,True,1.0,1.0,0.14903806151090526,0.460923406695247,0.6961486231032045,1.1418699864476463,0.835746996011749,1.122352015357768,0.286605019346019,1681,3200,0.9100071456249962,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,16
cylinder_r0p45,cylinder,0.45,0,cross_xy,0.4,balanced_extend5,10,530,2.1097655770887305,-0.036701076701136315,-4.444466392528046e-06,0.03669663223474379,23.300627141024492,6.73415027486171,13.234132690778747,7.866063333314328,7.8125587428714205,0.031239383122572822,0.02907284617355524,0.016133602450132623,0.0004806310456627466,0.02048063104566275,True,True,1.0,1.0,0.1441850963612807,0.44268058240283964,0.7077499703201288,1.1367809253814634,0.8352012232898548,1.1203620367251128,0.285160813435258,1681,3200,0.9208051145971775,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,17
cylinder_r0p45,cylinder,0.45,0,same_xx,0.4,balanced_extend5,10,530,2.1195311541774613,-0.036701076701136315,-4.444466392528046e-06,0.03669663223474379,23.300627141024492,6.71294104468207,13.234132690778747,7.866063333314328,7.838869570211465,0.031239383122572822,0.03015492861596377,0.016133602450132623,0.0004806310456627466,0.02048063104566275,True,True,1.0,1.0,0.14594161078700996,0.4348926525109505,0.7032615962376955,1.1348205170115777,0.8387011816863545,1.117161727269786,0.2784605455834315,1681,3200,0.9208051145971775,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,18
sphere_r0p45,sphere,0.45,0,cross_xy,0.4,balanced_extend5,10,530,2.1199274128153758,-0.0769959785739569,-8.888976682108751e-06,0.0769870895972748,34.014316061537365,10.457336348959782,17.522694317566117,9.084196840952883,8.642033369113378,0.04541314480906395,0.04057444553377418,0.02132002606182648,-0.000695177345471254,0.019304822654528764,False,True,1.0,1.0,0.14579732825705521,0.4860010565236745,0.706091337170365,1.1402789960728814,0.8381443425762488,1.1278962168378757,0.28975187426162685,1681,3200,0.8326703656357054,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,19
sphere_r0p45,sphere,0.45,0,same_xx,0.4,balanced_extend5,10,530,2.1199274128153758,-0.0769959785739569,-8.888976682108751e-06,0.0769870895972748,34.014316061537365,10.457336348959782,17.522694317566117,9.084196840952883,8.642033369113378,0.04541314480906395,0.04057444553377418,0.02132002606182648,-0.000695177345471254,0.019304822654528764,False,True,1.0,1.0,0.14904978658417853,0.4860010565236745,0.7019680793291184,1.146930888462625,0.8381443425762488,1.1278962168378757,0.28975187426162685,1681,3200,0.8326703656357054,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,20
cylinder_r0p30,cylinder,0.3,0,same_xx,0.4,balanced_extend5,10,530,2.1454103279040693,-0.05851294030528259,-6.666740742400368e-06,0.05850627356454019,36.393910191269704,10.129450261102916,20.083926171918673,15.36661646725676,14.315767531775885,0.059474315543726786,0.053523586647475294,0.0257176930273324,-0.0015799294238837969,0.01842007057611622,False,True,1.0,1.0,0.1418203093059736,0.4496397725690148,0.7125084573405955,1.1421690774322266,0.846518703614084,1.1185624335083575,0.2720437298942735,1681,3200,0.8109610821897333,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,21
cylinder_r0p30,cylinder,0.3,0,cross_xy,0.4,balanced_extend5,10,530,2.1227051639520345,-0.05851294030528259,-6.666740742400368e-06,0.05850627356454019,36.393910191269704,10.163010674187195,20.083926171918673,15.36661646725676,14.203184410764502,0.059474315543726786,0.0515861495594616,0.0257176930273324,-0.0015799294238837969,0.01842007057611622,False,True,1.0,1.0,0.14324166883076736,0.4548284976719027,0.7175995250087427,1.1477521777140756,0.8387033947981115,1.1252645366145515,0.28656114181644,1681,3200,0.8109610821897333,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,22
sphere_r0p30,sphere,0.3,0,cross_xy,0.4,balanced_extend5,10,530,2.1476589604605834,-0.1368068628893972,-1.3333629642786615e-05,0.1367935292597544,57.04520847169724,15.846629293017209,26.848009501549587,26.522831235028168,21.59233521054805,0.1264828620822273,0.09805103451278549,0.035714041132452023,-0.0046637066182625975,0.01533629338173742,False,True,1.0,1.0,0.1518196222116299,0.5234748571302406,0.7089172233052825,1.175509799994034,0.8418376847984075,1.1534940809621446,0.3116563961637371,1681,3200,0.5502910034946393,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,23
sphere_r0p30,sphere,0.3,0,same_xx,0.4,balanced_extend5,10,530,2.1476589604605834,-0.1368068628893972,-1.3333629642786615e-05,0.1367935292597544,57.04520847169724,15.846629293017209,26.848009501549587,26.522831235028168,21.592335210548082,0.1264828620822273,0.09805103451278552,0.035714041132452023,-0.0046637066182625975,0.01533629338173742,False,True,1.0,1.0,0.15407766555560376,0.5234748571302406,0.7032550664853775,1.1812300488375418,0.8418376847984075,1.1534940809621446,0.3116563961637371,1681,3200,0.5502910034946393,True,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL,24
