candidate_id,kind,curvature_radius_m,freeform_seed,direction_mode,tile_x,tile_y,exposure_norm,metric_status
cylinder_r0p30,cylinder,0.3,0,cross_xy,0,0,0.8387033947981115,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,cross_xy,0,1,0.9758855295969266,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,cross_xy,0,2,0.9764939728258095,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,cross_xy,0,3,0.9758855295969268,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,cross_xy,0,4,0.8387033947981115,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,cross_xy,1,0,0.9736040006445242,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,cross_xy,1,1,1.1244649258337702,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,cross_xy,1,2,1.1252645366145515,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,cross_xy,1,3,1.1244649258337702,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,cross_xy,1,4,0.9736040006445243,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,cross_xy,2,0,0.9416400242963396,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,cross_xy,2,1,1.0872186534395099,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,cross_xy,2,2,1.0881342221542443,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,cross_xy,2,3,1.0872186534395099,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,cross_xy,2,4,0.9416400242963399,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
cylinder_r0p30,cylinder,0.3,0,cross_xy,3,0,0.9736040006445243,PT-DESIGN_ANALYTIC_GEOMETRY_NOT_PHYSX_OR_PHYSICAL_REMOVAL
