policy_label,direction_mode,surface_profile,profile_seed,policy_outcome,champion_outcome,policy_safety_ok,champion_safety_ok,delta_gu,delta_ra_um,delta_rz_um,delta_scratch_um,delta_clearcoat_um
bc_spatial120,cross_xy,factory_prepolish_deep_defect,10388,success,success,True,True,-0.18339598575140315,0.001463681295655106,0.0005133308990485919,0.010916653666647735,0.02973319682629949
bc_base14,cross_xy,factory_prepolish_deep_defect,10485,success,success,True,True,0.016779598067685697,-0.0004495110103962252,-0.0020171077493742473,0.0009077659144065553,-0.00254424867491565
bc_global20,cross_xy,factory_prepolish_deep_defect,10485,success,success,True,True,-0.09488123690745454,-0.008862070339659245,-0.046046397227770264,0.02236474355495166,-0.002237133600615948
bc_spatial120,cross_xy,factory_prepolish_deep_defect,10485,success,success,True,True,0.433876697092046,0.005077418330950004,0.010212684310877851,0.0007550857833624747,-0.09162622178613589
bc_base14,cross_xy,factory_prepolish_deep_defect,10582,success,success,True,True,-0.08560063197465695,0.0006711175235040584,0.0016138338404854125,0.008519657890291743,0.00033918103535768296
bc_global20,cross_xy,factory_prepolish_deep_defect,10582,success,success,True,True,-0.3693001521374697,0.000344340491331141,-0.001181252190519455,0.05436555621627204,0.00019539354112652063
bc_spatial120,cross_xy,factory_prepolish_deep_defect,10582,success,success,True,True,0.13133582908744756,-9.126498535946825e-06,-0.00031640398401355796,0.020624291272563045,-0.010327298465917067
bc_base14,cross_xy,factory_prepolish_deep_defect,10679,success,success,True,True,-0.004761601695747686,-0.004034479706963606,-0.004450243374342966,0.00866845368653607,0.000468012617879765
bc_global20,cross_xy,factory_prepolish_deep_defect,10679,success,success,True,True,-0.08919090760291226,-0.010474142332584369,-0.014735613155619998,0.036226733859011095,0.0005683321877256731
bc_spatial120,cross_xy,factory_prepolish_deep_defect,10679,success,success,True,True,-0.3654054025065818,0.004695182105224266,0.02545979439580659,6.0900758344639705e-05,0.02852856788056357
bc_base14,cross_xy,factory_prepolish_deep_stress,10000,fail_max_passes,fail_max_passes,True,True,-0.0013700267295320145,-9.853039788246254e-06,0.0006350975378419665,0.0003204280826420991,-0.0034134823801323932
bc_global20,cross_xy,factory_prepolish_deep_stress,10000,fail_max_passes,fail_max_passes,True,True,-0.008367471240461555,-0.00013623341158724989,0.0007637260504684829,0.0005592242135818992,-0.00133545173492422
bc_spatial120,cross_xy,factory_prepolish_deep_stress,10000,fail_max_passes,fail_max_passes,True,True,-0.09614052897096315,0.003169968941273249,0.023956050687843122,0.004597618877529852,-0.009570330190264542
bc_base14,cross_xy,factory_prepolish_deep_stress,10097,success,success,True,True,-0.0009118762849738005,-0.000367561285080531,-0.0009010583077644352,0.00123850314544649,6.603396632698377e-05
bc_global20,cross_xy,factory_prepolish_deep_stress,10097,success,success,True,True,-0.009593668868419059,-0.002871793508928369,-0.008115175356302018,0.010363627109461593,-0.0005307713796156577
bc_spatial120,cross_xy,factory_prepolish_deep_stress,10097,success,success,True,True,-0.07687933655743961,-0.0028702282022742137,-0.009454358380091898,0.014471434925310778,0.010433190175916707
bc_base14,cross_xy,factory_prepolish_deep_stress,10194,success,success,True,True,-0.0012373224186035259,-0.0003923977431170289,-0.0011722505530855631,0.0019731133803810863,0.002160565694779848
bc_global20,cross_xy,factory_prepolish_deep_stress,10194,success,success,True,True,-0.01861649011921429,-0.007043426860586774,-0.018140327065468087,0.026228461445536477,0.009431816279381167
bc_spatial120,cross_xy,factory_prepolish_deep_stress,10194,success,success,True,True,0.11792259851949893,-0.007073921595470531,-0.03787440328893843,-0.01089700945130967,-0.021487378884444297
bc_base14,cross_xy,factory_prepolish_deep_stress,10291,success,success,True,True,-0.0038709755537951196,-0.0003811059552809304,0.0007745306008277719,0.000480876679038289,-0.006911788351331438
bc_global20,cross_xy,factory_prepolish_deep_stress,10291,success,success,True,True,-0.014091699270323943,-0.00020874667124090585,0.002023400431855338,8.466071437540634e-05,-0.007496413989962036
bc_spatial120,cross_xy,factory_prepolish_deep_stress,10291,fail_max_passes,success,True,True,-0.7219695016719214,-0.008982296504144019,-0.028053725645623695,0.03746627001802594,0.03145643671127374
bc_base14,cross_xy,factory_prepolish_deep_stress,10388,success,success,True,True,0.008466872933880154,-1.595111852012443e-05,-0.0001959088720446811,0.00036406317263648624,0.0005533516033580099
bc_global20,cross_xy,factory_prepolish_deep_stress,10388,success,success,True,True,0.02440652493852724,-9.713693397375711e-05,-0.0006260615275928139,0.0004916002298018807,0.00026190166109785196
bc_spatial120,cross_xy,factory_prepolish_deep_stress,10388,success,success,True,True,-0.4080408437630467,-0.001864748251126827,-0.009906528809708881,0.026107332710805453,0.04307094916359233
bc_base14,cross_xy,factory_prepolish_deep_stress,10485,success,success,True,True,0.01884555718559966,-0.0002905997870298743,-0.0015716135208114768,0.0006871574319697871,-0.0026857639714563675
bc_global20,cross_xy,factory_prepolish_deep_stress,10485,success,success,True,True,0.025489335843801086,-0.00011583992160167644,-0.0006347832599404857,0.000626363423664511,-0.003039381715424838
bc_spatial120,cross_xy,factory_prepolish_deep_stress,10485,success,success,True,True,0.35592871331886045,0.0034591485007668676,0.009107836859768348,0.0012209412510638673,-0.05835521230203966
bc_base14,cross_xy,factory_prepolish_deep_stress,10582,success,success,True,True,-0.06906408822965204,0.0006735347043491935,0.0019447648584480781,0.006751994074320478,-0.00021366541449907572
bc_global20,cross_xy,factory_prepolish_deep_stress,10582,success,success,True,True,-0.03936944120903263,0.0004086759039990673,0.000557893269400811,0.006139195091379501,0.0002258025493873106
bc_spatial120,cross_xy,factory_prepolish_deep_stress,10582,success,success,True,True,-0.27239985771520026,0.002908633548621767,0.0113054801903818,0.032380589502308155,0.008199257892542278
bc_base14,cross_xy,factory_prepolish_deep_stress,10679,success,success,True,True,-0.0043064425472323364,-0.00024099386473309947,-0.00046251499170946175,0.0009973152257238826,-5.456023851735381e-05
bc_global20,cross_xy,factory_prepolish_deep_stress,10679,success,success,True,True,1.4687543753666432e-05,-0.0014759573191510944,-0.006147345147227368,0.004253667177071763,-0.0007708708136462405
bc_spatial120,cross_xy,factory_prepolish_deep_stress,10679,success,success,True,True,-0.46630895271295003,0.0039110217513714796,0.026053739739632098,0.013906202322068184,0.03587515897593363
bc_base14,cross_xy,legacy_stress,10000,fail_max_passes,fail_max_passes,True,True,-0.11200702308467214,-0.0023680502787450652,-0.02559421506767512,0.0013398988571251547,0.00016035525555224694
bc_global20,cross_xy,legacy_stress,10000,fail_max_passes,fail_max_passes,True,True,-0.42874854045348343,-0.0060492199643673306,-0.06731673035360242,0.003753568043519895,0.0008063919029410727
bc_spatial120,cross_xy,legacy_stress,10000,fail_max_passes,fail_max_passes,True,True,-3.5771084127849306,-0.04839158167302893,-0.16800754350646363,0.13582594715393315,0.024403211200699104
bc_base14,cross_xy,legacy_stress,10097,fail_max_passes,fail_max_passes,True,True,0.012632617495285103,0.00042162496245348735,0.0026249284717740906,-0.0006270987442624776,0.00035968912267492215
bc_global20,cross_xy,legacy_stress,10097,fail_max_passes,fail_max_passes,True,True,-0.01215290746258546,0.0002943810511621958,0.006458101954693429,0.0021216247764834772,0.006838389093694275
bc_spatial120,cross_xy,legacy_stress,10097,fail_max_passes,fail_max_passes,True,True,-3.5474393431603986,-0.03507372116489284,-0.09712249828578079,0.18962485617354452,0.16350127039243745
bc_base14,cross_xy,legacy_stress,10194,fail_max_passes,fail_max_passes,True,True,0.0136992531330975,0.0002314678844147211,0.0006488334766219239,-0.00033402549529792935,-0.0011284422047168619
bc_global20,cross_xy,legacy_stress,10194,fail_max_passes,fail_max_passes,True,True,-0.020511267087663043,0.0010900840799110412,0.003510174629291818,-0.00020474258366709464,0.007250591352317315
