rail,segment,waypoint,path_file,geometry_risk,path_step_m,command_allowed,hold_reason,entry_progress,reset_before,control_force_n,control_feed_mm_s,curvature_force_n,curvature_feed_mm_s,softstart_force_n,softstart_feed_mm_s,deterministic_force_n,deterministic_feed_mm_s,projected_combined_force_n,projected_combined_feed_mm_s,nominal_dt_s,zero_residual_force_n,zero_residual_feed_mm_s,worst_up_force_n,worst_up_feed_mm_s,worst_down_force_n,worst_down_feed_mm_s,signed_k1_norm,signed_k2_norm,pad_curvature_ratio_norm,footprint_normal_spread_norm,fit_confidence,boundary_risk,hole_risk,contact_gap_norm,normal_force_norm,force_rate_norm
SL,5,3,path_SL5.npy,0.0015862679315253709,0.022329126754082874,True,,1.0,False,6.0,12.7,5.996034330171186,12.689927198634813,6.0,12.7,5.996034330171186,12.689927198634813,5.996034330171186,12.689927198634813,1.7595945512189424,5.996034330171186,12.689927198634813,6.0,12.7,5.096629180645508,10.15194175890785,0.00500377407297492,-0.016644909977912903,0.011443376541137695,0.023174408823251724,0.9963117241859436,0.0,0.0,0.0,0.0,0.0
SL,5,4,path_SL5.npy,0.0022857593365995985,0.027908063609928542,True,,1.0,False,6.0,12.7,5.994285601658501,12.685485428212592,6.0,12.7,5.994285601658501,12.685485428212592,5.994285601658501,12.685485428212592,2.199999658496383,5.994285601658501,12.685485428212592,6.0,12.7,5.095142761409726,10.148388342570074,0.005584120750427246,-0.01980876922607422,0.013618528842926025,0.02786288782954216,0.9961752891540527,0.0,0.0,0.0,0.0,0.0
SL,5,5,path_SL5.npy,0.00047316563552524777,0.039619564515909644,True,,1.0,False,6.0,12.7,5.9988170859111865,12.696995398214414,6.0,12.7,5.9988170859111865,12.696995398214414,5.9988170859111865,12.696995398214414,3.1203889797015574,5.9988170859111865,12.696995398214414,6.0,12.7,5.098994523024508,10.157596318571532,0.008881045505404472,-0.006909101270139217,0.006105718668550253,0.012611868791282177,0.9962105751037598,0.0034809771459549665,0.0,0.0,0.0,0.0
SL,5,6,path_SL5.npy,0.0008762571550091392,0.024793739796494393,True,,1.0,False,6.0,12.7,5.9978093571124775,12.694435767065691,6.0,12.7,5.9978093571124775,12.694435767065691,5.9978093571124775,12.694435767065691,1.9531186932166775,5.9978093571124775,12.694435767065691,6.0,12.7,5.098137953545606,10.155548613652552,0.008240368217229843,-0.006490519270300865,0.0056652529165148735,0.011783539317548275,0.996138870716095,0.01718929037451744,0.0,0.0,0.0,0.0
SL,5,7,path_SL5.npy,0.0007369331714952856,0.02782696054686707,True,,1.0,False,6.0,12.7,5.998157667071262,12.695320474361004,6.0,12.7,5.998157667071262,12.695320474361004,5.998157667071262,12.695320474361004,2.191906900110585,5.998157667071262,12.695320474361004,6.0,12.7,5.098434017010573,10.156256379488804,0.011521076783537865,-0.0032322006300091743,0.00792074017226696,0.015756016597151756,0.9965333938598633,0.010311725549399853,0.0,0.0,0.0,0.0
SL,5,8,path_SL5.npy,0.002886777652130726,0.020339624693965996,True,,1.0,False,6.0,12.7,5.9927830558696735,12.681668961908969,6.0,12.7,5.9927830558696735,12.681668961908969,5.9927830558696735,12.681668961908969,1.6038602454502389,5.9927830558696735,12.681668961908969,6.0,12.7,5.093865597489223,10.145335169527176,0.021990934386849403,-0.0026140687987208366,0.015118766576051712,0.031349632889032364,0.9959909319877625,0.0,0.0,0.0,0.0,0.0
SL,5,9,path_SL5.npy,0.0033677195935966284,0.028928177597208376,True,,1.0,False,6.0,12.7,5.991580701016009,12.67861498058066,6.0,12.7,5.991580701016009,12.67861498058066,5.991580701016009,12.67861498058066,2.28165124041676,5.991580701016009,12.67861498058066,6.0,12.7,5.092843595863608,10.142891984464528,0.02455572783946991,-0.008963355794548988,0.01688206195831299,0.033889852464199066,0.9959908723831177,0.0,0.0,0.0,0.0,0.0
SL,5,10,path_SL5.npy,0.0022930951349333945,0.021338466524749716,True,,1.0,False,6.0,12.7,5.9942672621626665,12.685438845893172,6.0,12.7,5.9942672621626665,12.685438845893172,5.9942672621626665,12.685438845893172,1.6821228484072435,5.9942672621626665,12.685438845893172,6.0,12.7,5.095127172838266,10.148351076714537,0.018875058740377426,-0.017673613503575325,0.012976602651178837,0.02790798991918564,0.9957601428031921,0.0,0.0,0.0,0.0,0.0
SL,5,11,path_SL5.npy,0.004502911121780539,0.03500299226762865,True,,1.0,False,6.0,12.7,5.988742722195549,12.671406514376693,6.0,12.7,5.988742722195549,12.671406514376693,5.988742722195549,12.671406514376693,2.7623604552434684,5.988742722195549,12.671406514376693,6.0,12.7,5.090431313866216,10.137125211501354,0.01736637018620968,-0.028109177947044373,0.01932505890727043,0.03925953432917595,0.9950637221336365,0.0,0.0,0.0,0.0,0.0
SL,5,12,path_SL5.npy,0.04131655021856384,0.023828982867305278,True,,1.0,False,6.0,12.7,5.8967086244535905,12.43763990611212,6.0,12.7,5.8967086244535905,12.43763990611212,5.8967086244535905,12.43763990611212,1.9158765688010642,5.8967086244535905,12.43763990611212,6.0,12.7,5.012202330785552,9.950111924889695,0.01069183275103569,-0.08830950409173965,0.0607127845287323,0.12246019393205643,0.9945520162582397,0.002796114655211568,0.0,0.0,0.0,0.0
